Account Name,Type,Industry,Annual Revenue,Rating,Phone,Website,Billing Street,Billing City,Billing State/Province,Billing Country,Billing Zip/Postal Code,Contact First Name,Contact Last Name,Created Date,Record Source,Ingest Timestamp,account_bkey,customer_id
"Smith, Bennett and Avila",Vendor,Education,39727037,Hot,721.156.8963,https://burton-potts.com/,0785 Schultz Village Suite 477,East Michellefurt,WV,Sweden,46289,Rowan,Martinez,2022-06-26T11:53:56,salesforce_accounts,2025-10-12T04:56:38.677936,8c21b67b-d55b-4b74-9ffa-df07e22faf02,8c21b67b-d55b-4b74-9ffa-df07e22faf02
Nunez-Shepherd,Vendor,Technology,11028294,Hot,275-037-6381x63607,http://www.brown.com/,7126 Taylor Springs,North Zachary,NM,Syrian Arab Republic,48154,Jordan,Jackson,2024-01-06T10:11:34,salesforce_accounts,2025-10-12T04:56:38.677936,c98322b1-ab3c-44dc-896f-bfbeebde565d,c98322b1-ab3c-44dc-896f-bfbeebde565d
"Franklin, Stark and Molina",Vendor,Energy,19869886,Cold,760.049.9706,http://davis.com/,80166 James Isle Suite 578,Frenchside,IN,Kuwait,77524,Alex,Jackson,2022-07-10T11:47:38,salesforce_accounts,2025-10-12T04:56:38.677936,c4409009-16d1-43e7-9914-cb3d97f2dd47,c4409009-16d1-43e7-9914-cb3d97f2dd47
Garrett Inc,Vendor,Education,5310833,Warm,(088)116-0822,https://castro.com/,929 Michael Trace Suite 746,Melvinmouth,ME,Malawi,21387,Taylor,Taylor,2020-11-20T12:12:46,salesforce_accounts,2025-10-12T04:56:38.677936,2bc1e751-a5cb-424b-944d-6c8955cfa1c6,2bc1e751-a5cb-424b-944d-6c8955cfa1c6
Hunter-Carter,Prospect,Healthcare,23980675,Cold,001-408-888-4327x12896,http://gilbert-hall.com/,5614 Mikayla Run Suite 424,Macdonaldfurt,MI,Trinidad and Tobago,56442,Avery,Hernandez,2021-06-29T18:21:54,salesforce_accounts,2025-10-12T04:56:38.677936,469556fa-80e4-4c0f-96e4-b330a75fe1fe,469556fa-80e4-4c0f-96e4-b330a75fe1fe
"Salas, Marquez and Arnold",Customer,Technology,40472097,Warm,(356)565-8030x825,http://kramer.biz/,6446 Katrina Walks,Trujilloland,ND,Brazil,18369,Jamie,Martinez,2020-06-23T23:18:22,salesforce_accounts,2025-10-12T04:56:38.677936,777b2923-b487-4726-b3a0-700d8c186a72,777b2923-b487-4726-b3a0-700d8c186a72
Griffith-Cook,Prospect,Energy,17719277,Cold,183.999.5275x057,https://burch-kline.com/,70925 Steven Landing Apt. 609,Smithfurt,OH,Mayotte,67836,Reese,Davis,2022-02-15T16:51:05,salesforce_accounts,2025-10-12T04:56:38.677936,87349cad-b2de-4fb6-8da8-5541cd3c901b,87349cad-b2de-4fb6-8da8-5541cd3c901b
Smith LLC,Prospect,Finance,29000556,Hot,997-956-9512,http://wilson-barnes.com/,1901 Howard Plaza Suite 867,Justinfort,TN,Heard Island and McDonald Islands,40598,Elliot,Garcia,2022-02-08T11:04:36,salesforce_accounts,2025-10-12T04:56:38.677936,2bdc34ed-abf4-4235-bbb6-a787c10ee39e,2bdc34ed-abf4-4235-bbb6-a787c10ee39e
Jenkins-Blankenship,Prospect,Healthcare,32573692,Warm,001-676-250-1372,http://www.lee.net/,4603 Alexander Path Apt. 885,South Timothy,MD,Serbia,56774,Alex,Thompson,2023-01-06T04:06:35,salesforce_accounts,2025-10-12T04:56:38.677936,5e332262-4479-4ba3-ae90-5f9063d7e8e8,5e332262-4479-4ba3-ae90-5f9063d7e8e8
Roy-Robinson,Vendor,Healthcare,37816107,Cold,001-477-501-2231,https://monroe-smith.com/,0682 Amy Pass Apt. 676,Joannborough,AR,Czech Republic,65302,Devin,Taylor,2024-12-28T02:53:42,salesforce_accounts,2025-10-12T04:56:38.677936,5673444b-ee40-4051-95e5-eb30b63a8542,5673444b-ee40-4051-95e5-eb30b63a8542
Tran-Ford,Partner,Education,27927110,Hot,000-328-0880,https://www.terrell.com/,871 Anita Valley,Roberthaven,VA,Uganda,76822,Avery,Garcia,2021-04-02T04:50:25,salesforce_accounts,2025-10-12T04:56:38.677936,ef0e315c-34db-4e30-a123-845b39a5e7c3,ef0e315c-34db-4e30-a123-845b39a5e7c3
Hunter-Ross,Customer,Healthcare,24692961,Hot,(358)226-3835x989,https://www.benton.com/,622 Alvarado Ridges,Holmesmouth,MD,Cameroon,74926,Devin,Thomas,2024-03-14T16:02:06,salesforce_accounts,2025-10-12T04:56:38.677936,b23a0949-c8ee-4505-8fc3-019227068147,b23a0949-c8ee-4505-8fc3-019227068147
Brown-Ortega,Partner,Technology,25359871,Cold,001-488-529-1428x1965,https://jackson.net/,9630 Gallagher Mission Apt. 801,South Bonnieville,ID,Guernsey,16191,Rowan,Johnson,2023-12-08T12:19:59,salesforce_accounts,2025-10-12T04:56:38.677936,0f3e75a5-115f-40a3-822d-ffd7bf0fc6e1,0f3e75a5-115f-40a3-822d-ffd7bf0fc6e1
Johns Ltd,Prospect,Energy,26154796,Warm,001-170-469-4043x89505,http://wells-walker.biz/,7978 Patricia Valley,Hernandezfurt,WY,Western Sahara,67843,Jamie,Martinez,2022-06-12T19:45:52,salesforce_accounts,2025-10-12T04:56:38.677936,c68cbbc9-5965-4e9b-b32f-f3a06c138b10,c68cbbc9-5965-4e9b-b32f-f3a06c138b10
"Young, Gonzalez and Gibson",Prospect,Energy,32935245,Warm,+1-312-962-0146x082,https://www.davidson.com/,6654 Rachel Pines,Michaelfurt,ID,Grenada,80521,Skyler,Moore,2021-05-02T22:57:10,salesforce_accounts,2025-10-12T04:56:38.677936,f198575d-5ba2-4ed8-9892-a9da899f2b45,f198575d-5ba2-4ed8-9892-a9da899f2b45
"Ellison, Sanford and Hunter",Partner,Finance,29763888,Hot,(265)645-4561x1991,https://smith.com/,427 John Springs,Huanghaven,GA,Bhutan,57229,Logan,Taylor,2020-02-06T01:41:12,salesforce_accounts,2025-10-12T04:56:38.677936,70cca529-f2f0-4e28-a27d-3ce848796459,70cca529-f2f0-4e28-a27d-3ce848796459
Wall and Sons,Partner,Education,28283527,Warm,024.908.5539x676,http://www.ferguson-adkins.com/,876 Rodriguez Cliffs,Travisport,OH,Paraguay,86295,Quinn,Taylor,2024-04-12T10:05:55,salesforce_accounts,2025-10-12T04:56:38.677936,ecb8ccbf-23b4-4016-b7bf-39503779a773,ecb8ccbf-23b4-4016-b7bf-39503779a773
Sellers Group,Partner,Finance,42606078,Warm,(562)853-6363x92718,http://robinson.org/,94863 David Grove Apt. 309,South Michaelbury,FL,Sierra Leone,72997,Alex,Jones,2024-04-16T04:29:18,salesforce_accounts,2025-10-12T04:56:38.677936,2ff30336-0a03-4232-a5d0-6ce2314bcf9b,2ff30336-0a03-4232-a5d0-6ce2314bcf9b
Johnson LLC,Prospect,Healthcare,7781505,Warm,+1-941-493-6376x4460,https://cardenas.com/,022 Murray Causeway Apt. 865,Lake Amanda,SD,Honduras,48099,Riley,Moore,2023-09-22T12:10:59,salesforce_accounts,2025-10-12T04:56:38.677936,d3398485-c649-4d5c-b450-976c93804337,d3398485-c649-4d5c-b450-976c93804337
"Anderson, Garcia and Miles",Prospect,Finance,39179227,Hot,765-415-9332,http://www.lopez-santos.com/,22021 Franklin Walks,Lake William,AL,Northern Mariana Islands,76693,Rowan,Johnson,2022-02-23T16:29:48,salesforce_accounts,2025-10-12T04:56:38.677936,937367ea-b56d-4222-afea-47353b4b786d,937367ea-b56d-4222-afea-47353b4b786d
Mendez Group,Customer,Technology,39465695,Cold,936.264.9335,https://www.johnson-peters.com/,6843 Watkins Square Suite 141,Port Markburgh,VT,Belarus,91829,Sam,Jones,2020-11-16T13:28:42,salesforce_accounts,2025-10-12T04:56:38.677936,ee158175-f1e6-48ae-aea1-e501dee7f621,ee158175-f1e6-48ae-aea1-e501dee7f621
Mcdowell-Lane,Customer,Energy,38018167,Warm,+1-722-963-4047x0679,https://franco.com/,27363 Patton Plaza,West Josephfort,GA,Nauru,81019,Quinn,Martin,2020-01-20T18:32:06,salesforce_accounts,2025-10-12T04:56:38.677936,2d24f9aa-b91d-45e3-93e5-5dd30c160920,2d24f9aa-b91d-45e3-93e5-5dd30c160920
"Graham, Salazar and Branch",Prospect,Healthcare,27040396,Hot,+1-007-934-2944x010,http://owen.com/,1714 Jared Walks,East Robert,MT,Montserrat,20710,Casey,Thompson,2021-05-17T11:15:54,salesforce_accounts,2025-10-12T04:56:38.677936,61e5538d-4742-404d-896f-8816ac6adcc8,61e5538d-4742-404d-896f-8816ac6adcc8
Heath PLC,Partner,Finance,15312143,Hot,(339)854-1307,http://www.kirk-tate.net/,096 Rhonda Harbors Apt. 579,Morganfort,CO,Ireland,29147,Avery,Martinez,2023-08-11T01:13:48,salesforce_accounts,2025-10-12T04:56:38.677936,e43af2bb-47d6-49ec-9218-189425df0933,e43af2bb-47d6-49ec-9218-189425df0933
"Carter, Rios and Williams",Partner,Education,9489138,Cold,(898)137-8704x769,https://www.ferguson-reed.info/,74438 Phillips Plain,Harrisonview,RI,Iraq,88299,Sam,Brown,2020-02-09T09:27:18,salesforce_accounts,2025-10-12T04:56:38.677936,aeb16b00-e761-4c49-93d1-fd4b4143cb80,aeb16b00-e761-4c49-93d1-fd4b4143cb80
"Porter, Robinson and Jones",Customer,Technology,47864509,Warm,779.965.7653x0634,https://www.johnson.com/,93950 Danielle Isle,East Richardview,VT,Gambia,90538,Morgan,Hernandez,2020-04-24T22:16:44,salesforce_accounts,2025-10-12T04:56:38.677936,b400da4d-e45b-4beb-a2f0-7919d5185af7,b400da4d-e45b-4beb-a2f0-7919d5185af7
Washington LLC,Prospect,Technology,12537574,Warm,001-716-996-8567,https://hernandez.com/,2580 Reed Dam Suite 984,Russomouth,UT,Singapore,60465,Taylor,Brown,2020-09-18T14:19:23,salesforce_accounts,2025-10-12T04:56:38.677936,b4dbf7ed-2b91-46bd-b9c5-2906c043a452,b4dbf7ed-2b91-46bd-b9c5-2906c043a452
"Miranda, Smith and Tanner",Customer,Finance,43520873,Cold,+1-295-258-8952x7894,https://www.green-jackson.net/,8222 Gregory View Apt. 032,Samanthaland,AK,Korea,51097,Parker,Martin,2020-02-23T15:44:53,salesforce_accounts,2025-10-12T04:56:38.677936,fe86d432-a50c-477f-ab0c-d3978f1ad861,fe86d432-a50c-477f-ab0c-d3978f1ad861
"Holmes, Powell and Hernandez",Customer,Energy,45020680,Cold,413-589-6187,https://www.hamilton.com/,3960 Curtis Forge Suite 144,New William,MS,Lesotho,41071,Morgan,Hernandez,2025-02-22T04:26:24,salesforce_accounts,2025-10-12T04:56:38.677936,ec052fde-8dd4-4e5a-86f2-d91f5910ffe5,ec052fde-8dd4-4e5a-86f2-d91f5910ffe5
Benson LLC,Vendor,Finance,42878463,Hot,685-193-1939x361,http://frazier.info/,6284 Jeffrey Shoals Apt. 445,East Brettville,KS,Hungary,44006,Drew,Smith,2020-08-31T19:31:03,salesforce_accounts,2025-10-12T04:56:38.677936,04ff3c68-9308-4436-9eba-869ba7a4c02c,04ff3c68-9308-4436-9eba-869ba7a4c02c
"Ward, Grant and Peters",Vendor,Healthcare,7055035,Hot,801-195-7352x92559,https://webb.com/,9207 Sullivan Vista,Port Sarah,WI,Australia,54316,Drew,Jones,2024-11-17T07:31:06,salesforce_accounts,2025-10-12T04:56:38.677936,a90eab25-597f-47ac-b2f1-7511a56e40d5,a90eab25-597f-47ac-b2f1-7511a56e40d5
Taylor-Carter,Vendor,Finance,33235803,Cold,511-941-4458,https://adams-english.com/,985 Campos Mountain Suite 328,New Christopherborough,WY,Israel,35326,Elliot,Thomas,2023-12-28T10:02:21,salesforce_accounts,2025-10-12T04:56:38.677936,91ff13ad-e6ca-4bae-91c0-1d7082844294,91ff13ad-e6ca-4bae-91c0-1d7082844294
"Quinn, Johnson and Santos",Partner,Technology,33237614,Warm,254.862.5733x70856,https://www.williams.com/,45330 Banks Pine,Lake Cynthia,NJ,Croatia,69974,Quinn,Jones,2023-01-15T17:53:17,salesforce_accounts,2025-10-12T04:56:38.677936,f490523e-4fe2-48c2-a4ed-85bc3887f7a3,f490523e-4fe2-48c2-a4ed-85bc3887f7a3
"Jones, Bennett and Byrd",Prospect,Finance,44107261,Hot,376.157.9775x24296,https://gonzalez-yoder.com/,126 Thompson Loaf Apt. 429,Jacobview,WY,Monaco,22440,Jordan,Williams,2024-02-17T16:33:49,salesforce_accounts,2025-10-12T04:56:38.677936,ce5943d8-d9d2-4939-8a6e-f4026f9fe5e7,ce5943d8-d9d2-4939-8a6e-f4026f9fe5e7
"Riddle, Johnson and Wallace",Prospect,Energy,16386372,Hot,798-030-2640,http://garcia.com/,70219 Barbara Burgs Suite 153,West Heather,OH,Netherlands,32871,Skyler,Moore,2024-11-08T11:08:58,salesforce_accounts,2025-10-12T04:56:38.677936,64b1f6c9-d7e8-4991-b687-86f9ff82672f,64b1f6c9-d7e8-4991-b687-86f9ff82672f
Bailey PLC,Prospect,Education,38122748,Warm,+1-859-570-9401x3764,https://hill-nelson.biz/,113 Kristi Canyon Apt. 584,South Deborahmouth,UT,Ireland,32949,Devin,Rodriguez,2024-05-18T22:00:21,salesforce_accounts,2025-10-12T04:56:38.677936,67b27819-9d7c-4993-bacf-f5560b7dc04c,67b27819-9d7c-4993-bacf-f5560b7dc04c
Jones Inc,Prospect,Retail,32956981,Hot,+1-501-271-0621x9059,http://www.berry.biz/,005 Cooley Island Suite 925,Lisastad,SD,Japan,28611,Morgan,Martinez,2020-04-30T19:08:25,salesforce_accounts,2025-10-12T04:56:38.677936,bb31f8fb-6b5c-47d8-8bbd-cc18f528575a,bb31f8fb-6b5c-47d8-8bbd-cc18f528575a
"Harris, Alvarez and Miller",Vendor,Finance,8567987,Warm,+1-102-516-2677x1747,http://www.castro-johnson.net/,46142 Annette Field Suite 680,Jamesfort,SC,Afghanistan,28605,Parker,White,2024-08-15T14:21:16,salesforce_accounts,2025-10-12T04:56:38.677936,b7049aaf-ba5d-4bfd-a3b4-6e7a673fb7eb,b7049aaf-ba5d-4bfd-a3b4-6e7a673fb7eb
"Steele, Ramirez and Underwood",Partner,Energy,2156671,Warm,895.930.1106,http://www.williams.com/,939 Seth Dale,Port Adriana,WV,Lao People's Democratic Republic,86805,Taylor,Taylor,2022-02-23T17:14:17,salesforce_accounts,2025-10-12T04:56:38.677936,408371d4-22cf-4788-9797-628b8a507172,408371d4-22cf-4788-9797-628b8a507172
"Duran, Bishop and Dixon",Partner,Energy,22958851,Warm,+1-295-223-0994x1608,https://thomas-wilson.org/,985 Williams Canyon,Kellerport,MO,Gambia,64691,Devin,Williams,2025-02-20T06:13:40,salesforce_accounts,2025-10-12T04:56:38.677936,86f6bf14-cd57-4dec-a50b-fd2054dc6f9b,86f6bf14-cd57-4dec-a50b-fd2054dc6f9b
Shah-Lamb,Vendor,Education,23422481,Cold,(208)768-6340,https://www.maxwell.biz/,1606 Joel Cove,Port Jay,MO,Wallis and Futuna,1241,Cameron,Martinez,2021-10-31T03:14:07,salesforce_accounts,2025-10-12T04:56:38.677936,364e5d5c-3db5-492e-aa05-fc16bd5b6ec9,364e5d5c-3db5-492e-aa05-fc16bd5b6ec9
Morrow-Baxter,Partner,Technology,42581603,Cold,(793)660-6790,https://www.hodge.com/,05178 Santiago Flats,Lake Nicholas,MS,British Virgin Islands,35499,Elliot,Jackson,2024-11-19T18:48:54,salesforce_accounts,2025-10-12T04:56:38.677936,ff7125db-1492-46ea-b8d4-bdea7a81490b,ff7125db-1492-46ea-b8d4-bdea7a81490b
Brown Group,Vendor,Energy,18060282,Cold,+1-167-827-5619,http://www.lang.com/,004 Sandra Turnpike,New Crystalville,NH,Ethiopia,60218,Drew,Taylor,2024-01-05T23:38:23,salesforce_accounts,2025-10-12T04:56:38.677936,d468fd2e-832b-4bbd-bfef-e1cb324fdc9d,d468fd2e-832b-4bbd-bfef-e1cb324fdc9d
Choi Ltd,Prospect,Energy,43997663,Warm,001-334-916-5486x77730,http://www.mclean-larson.biz/,00931 Phillips Place Suite 952,Martinmouth,NJ,Cote d'Ivoire,40993,Logan,Martinez,2024-03-06T06:12:56,salesforce_accounts,2025-10-12T04:56:38.677936,54f09531-4602-4a1e-a594-46ee4c3a3c7a,54f09531-4602-4a1e-a594-46ee4c3a3c7a
Miles-Winters,Vendor,Energy,22177072,Warm,(170)031-9133,https://suarez.com/,220 Davies Harbors,Christinaville,DE,Chad,9928,Avery,Moore,2020-10-10T12:47:44,salesforce_accounts,2025-10-12T04:56:38.677936,e366d66d-fc39-40fc-8b75-d1d02d6355b1,e366d66d-fc39-40fc-8b75-d1d02d6355b1
Decker and Sons,Prospect,Energy,23517995,Cold,665.652.5793x3945,https://www.long.net/,1596 Kyle Plains Apt. 792,South Thomas,NJ,Turkey,27130,Taylor,Jackson,2023-07-03T13:25:47,salesforce_accounts,2025-10-12T04:56:38.677936,d35683a0-6657-4ef5-a6ca-d2f85ab94aaf,d35683a0-6657-4ef5-a6ca-d2f85ab94aaf
"Harvey, Macdonald and Fowler",Prospect,Healthcare,21333173,Hot,136.624.0888,https://www.graves-moses.org/,525 Todd Forks Suite 092,Gabrielleberg,CA,Mali,3758,Jordan,Johnson,2023-04-11T19:46:09,salesforce_accounts,2025-10-12T04:56:38.677936,af2ec5d2-83d8-460f-8cc9-f4a14c3cc642,af2ec5d2-83d8-460f-8cc9-f4a14c3cc642
Hawkins LLC,Customer,Healthcare,23894704,Warm,(247)343-5617x719,http://www.phillips-reed.com/,4203 Davis Road,West Heidi,OR,Haiti,26861,Jamie,White,2022-10-04T07:23:27,salesforce_accounts,2025-10-12T04:56:38.677936,358ed66d-6512-40f7-bc1f-c0c19e6efded,358ed66d-6512-40f7-bc1f-c0c19e6efded
"Smith, Collier and Reed",Vendor,Technology,17875113,Hot,357.445.9020,https://www.woods-bond.com/,849 Joshua Prairie,Port Cindyhaven,PA,Guinea-Bissau,27986,Cameron,Williams,2021-11-24T10:39:19,salesforce_accounts,2025-10-12T04:56:38.677936,bc0154b8-8abb-401f-a456-81c7586287dd,bc0154b8-8abb-401f-a456-81c7586287dd
Smith-Palmer,Customer,Finance,21218453,Hot,(665)631-2067,https://www.ramsey-dougherty.com/,31487 Ryan Bridge,Port Julia,NV,Thailand,26965,Taylor,Garcia,2024-09-27T15:56:56,salesforce_accounts,2025-10-12T04:56:38.677936,d52c9141-cce3-49ba-812f-c1a5b311d8bd,d52c9141-cce3-49ba-812f-c1a5b311d8bd
Fisher Group,Vendor,Energy,9661408,Warm,(065)636-9993,https://oliver.com/,194 Richard Flats,West Jesse,MA,Spain,13533,Jamie,Wilson,2021-12-23T01:43:20,salesforce_accounts,2025-10-12T04:56:38.677936,854fffbf-2f18-48af-a44a-e6e47236f606,854fffbf-2f18-48af-a44a-e6e47236f606
Wilson Ltd,Vendor,Education,47939893,Warm,365.019.3323,https://www.ponce.com/,0604 Ward Trail,Markton,NM,Turkey,61313,Morgan,Garcia,2022-11-21T06:36:42,salesforce_accounts,2025-10-12T04:56:38.677936,538e3914-de74-4b3d-8816-16e596ba68ba,538e3914-de74-4b3d-8816-16e596ba68ba
"Robinson, Simmons and Carrillo",Customer,Finance,37714417,Hot,(577)606-6809,http://wolfe.com/,40400 Kelly Haven Apt. 974,West Paul,AZ,Isle of Man,51877,Parker,Williams,2020-09-11T14:43:13,salesforce_accounts,2025-10-12T04:56:38.677936,4597801e-aea3-46e5-a4b7-baad16de81cb,4597801e-aea3-46e5-a4b7-baad16de81cb
Luna Inc,Customer,Education,25296429,Hot,(477)092-7352,http://webb-davis.info/,30806 Jeanette Neck Apt. 649,East Deborah,NM,Guam,45170,Quinn,Thomas,2023-08-06T06:07:20,salesforce_accounts,2025-10-12T04:56:38.677936,43dde2c0-bb78-4a22-8307-ce0d5042ebda,43dde2c0-bb78-4a22-8307-ce0d5042ebda
Fisher LLC,Vendor,Finance,20853727,Cold,134.289.3916x2250,http://www.miles-jones.biz/,52926 Sarah Stravenue,Espinozaland,KY,Northern Mariana Islands,1621,Skyler,Brown,2023-01-01T23:06:05,salesforce_accounts,2025-10-12T04:56:38.677936,8a5a69b9-f8e9-419e-afa4-6f2e91776f13,8a5a69b9-f8e9-419e-afa4-6f2e91776f13
"Wilson, Ford and Hurley",Partner,Technology,18441166,Cold,2961086915,https://www.phelps.info/,492 Shannon Knolls,Lake Darrellmouth,PA,Tanzania,85091,Drew,Brown,2023-09-02T22:13:01,salesforce_accounts,2025-10-12T04:56:38.677936,b67dd297-d023-4334-958d-c9ec281339d9,b67dd297-d023-4334-958d-c9ec281339d9
Parks Inc,Prospect,Energy,1049148,Warm,+1-610-301-1010x27432,https://johnson.com/,5509 Joshua Shoals,Edwinbury,IN,Montenegro,59439,Riley,Hernandez,2020-07-07T06:16:37,salesforce_accounts,2025-10-12T04:56:38.677936,1f5b50bb-a2a4-4b68-bdab-87625bd1820a,1f5b50bb-a2a4-4b68-bdab-87625bd1820a
Washington and Sons,Customer,Energy,36828139,Cold,211-214-5017x54736,http://www.green.com/,275 Tyler Loop Suite 473,Port Eric,ID,Moldova,12087,Drew,Miller,2021-06-30T13:34:18,salesforce_accounts,2025-10-12T04:56:38.677936,d7e5ff44-082f-4efe-86f2-bc8b772b35b5,d7e5ff44-082f-4efe-86f2-bc8b772b35b5
"Stevens, Mason and Smith",Prospect,Retail,30344218,Cold,232.378.3961x0342,http://www.bailey-thomas.info/,698 Jones Park,Lake Ryanland,TX,Bahrain,94484,Drew,Wilson,2022-09-03T23:27:50,salesforce_accounts,2025-10-12T04:56:38.677936,131675cd-f641-4339-9ce2-bca5b750c2a7,131675cd-f641-4339-9ce2-bca5b750c2a7
"Price, Calhoun and Bishop",Partner,Education,22345218,Cold,+1-916-544-6578x58720,http://www.beltran-king.info/,390 Garcia Streets Apt. 604,Jasonton,SD,Gibraltar,98112,Avery,Smith,2024-07-22T19:39:03,salesforce_accounts,2025-10-12T04:56:38.677936,f702da63-2567-48f5-9f06-e832d1a0e8ab,f702da63-2567-48f5-9f06-e832d1a0e8ab
"Morgan, Jacobs and Gardner",Partner,Finance,3273939,Cold,001-842-258-3608,http://harper.com/,035 Charles Spur Suite 168,New Phillip,AR,France,5012,Quinn,Johnson,2023-12-04T07:49:09,salesforce_accounts,2025-10-12T04:56:38.677936,0ded7685-b834-4246-bf04-94def1d5eb2d,0ded7685-b834-4246-bf04-94def1d5eb2d
"Ross, Rodriguez and Duncan",Partner,Finance,35990172,Hot,216.513.4795,https://campbell-cameron.com/,776 Elizabeth Trafficway Apt. 365,Michaelbury,HI,Nauru,9723,Taylor,Martinez,2020-01-02T18:20:20,salesforce_accounts,2025-10-12T04:56:38.677936,c96a52ca-2da8-41ab-b299-0f0ba2fdc440,c96a52ca-2da8-41ab-b299-0f0ba2fdc440
Martin Inc,Customer,Healthcare,37489387,Warm,(040)240-7008,http://christensen.org/,5230 Brett Pines,Rollinsborough,CA,Albania,31678,Elliot,Johnson,2022-04-22T06:13:06,salesforce_accounts,2025-10-12T04:56:38.677936,1955fda6-b813-497a-89f2-675b910a21d8,1955fda6-b813-497a-89f2-675b910a21d8
Garcia LLC,Partner,Retail,38991142,Cold,001-603-281-4573x138,http://www.brooks.com/,8616 Danielle Plains Apt. 813,South Kaitlyn,NY,Wallis and Futuna,83046,Riley,Wilson,2025-02-19T20:41:12,salesforce_accounts,2025-10-12T04:56:38.677936,6b482718-c54b-4768-871f-b57656b41758,6b482718-c54b-4768-871f-b57656b41758
Campbell-Ponce,Customer,Healthcare,13926716,Hot,2186193590,http://anderson-rodgers.com/,44316 Ramsey Crescent,West Michael,IL,Fiji,79989,Devin,Anderson,2025-03-01T23:13:37,salesforce_accounts,2025-10-12T04:56:38.677936,555079f4-5f4b-46e6-94e5-f56d23c07e92,555079f4-5f4b-46e6-94e5-f56d23c07e92
