product_id,sku,product_name,category,subcategory,brand,price_usd,cost_usd,weight_kg,dimensions,color,size,active,stock_quantity,reorder_level,supplier_id,created_at,updated_at,source_system,ingestion_timestamp,rating,review_count,in_stock
PROD-000010,SKU-206914,Ergonomic context-sensitive forecast,Sports,Team Sports,"Stewart, Douglas and Morales",517.88,84.39,45.17,71x40x3,White,One Size,True,489,71,SUPP-086,2023-09-12 13:14:47.525186,2025-03-28 09:02:30.501393,snowflake,2025-03-22 10:50:05.355037,4.8,18,True
PROD-000011,SKU-900199,Public-key background project,Toys,Games,"Jackson, Wolfe and Evans",950.26,233.26,46.17,39x89x7,Yellow,L,True,914,14,SUPP-092,2024-09-04 16:24:29.121960,2025-08-30 16:16:12.069170,snowflake,2025-03-22 10:50:05.355037,3.9,24,True
PROD-000012,SKU-934889,Profound fresh-thinking application,Toys,Action Figures,Lane PLC,667.53,292.18,44.46,2x47x50,Black,XL,False,967,63,SUPP-002,2022-11-14 19:10:50.853364,2025-09-23 05:11:57.932214,snowflake,2025-03-22 10:50:05.355037,5.0,23,True
PROD-000013,SKU-145763,Horizontal dynamic database,Sports,Water Sports,Moore LLC,35.24,184.18,29.23,14x45x21,White,XS,False,1000,31,SUPP-090,2023-08-17 13:57:38.819539,2025-06-24 20:31:41.303376,snowflake,2025-03-22 10:50:05.355037,4.0,28,True
PROD-000014,SKU-615006,Business-focused 24/7 standardization,Electronics,Smartphones,Brown-Bates,639.43,242.56,12.09,34x91x33,Black,XXL,True,479,15,SUPP-062,2024-09-01 18:16:51.915419,2024-10-23 07:14:53.208313,snowflake,2025-03-22 10:50:05.355037,4.9,32,True
PROD-000015,SKU-858640,Seamless directional neural-net,Toys,Outdoor,Waters Inc,402.5,48.27,17.57,31x95x26,Blue,One Size,False,329,87,SUPP-081,2023-03-25 02:10:21.251726,2025-07-02 07:44:24.690397,snowflake,2025-03-22 10:50:05.355037,3.8,27,True
PROD-000016,SKU-728709,Object-based web-enabled capacity,Electronics,Gaming,Russell-Martinez,416.59,419.88,26.61,18x82x33,Blue,M,False,113,41,SUPP-025,2024-03-22 07:22:25.605243,2025-06-10 06:22:44.872665,snowflake,2025-03-22 10:50:05.355037,4.5,21,True
PROD-000017,SKU-742906,Distributed local function,Books,Reference,Green-Thomas,539.51,337.36,16.45,13x83x42,Yellow,XXL,False,303,57,SUPP-090,2022-11-13 06:30:30.221889,2025-02-26 15:04:19.539202,snowflake,2025-03-22 10:50:05.355037,5.0,35,True
PROD-000018,SKU-607275,Business-focused cohesive standardization,Home,Other,Edwards-Walls,164.91,151.45,37.45,37x7x22,Orange,One Size,False,894,63,SUPP-016,2023-04-28 13:15:41.882543,2025-10-12 02:16:24.748381,snowflake,2025-03-22 10:50:05.355037,3.2,21,True
PROD-000019,SKU-367185,Optional disintermediate architecture,Sports,Water Sports,"Marquez, Short and Simpson",585.64,438.64,24.42,50x73x45,Blue,One Size,True,601,69,SUPP-038,2022-12-20 07:30:49.792217,2025-02-11 20:34:37.745130,snowflake,2025-03-22 10:50:05.355037,4.1,13,True
PROD-000020,SKU-627140,Function-based cohesive synergy,Toys,Dolls,Smith-Murphy,510.43,401.6,24.44,70x76x39,Orange,XXL,True,710,32,SUPP-087,2024-05-28 13:53:53.981664,2025-01-11 13:59:54.929854,snowflake,2025-03-22 10:50:05.355037,4.6,13,True
PROD-000021,SKU-557495,Managed tertiary structure,Home,Other,"Wolfe, White and Powell",98.36,412.0,4.13,88x80x18,Purple,S,True,278,34,SUPP-066,2024-02-29 19:45:32.374238,2024-12-26 15:31:16.114298,snowflake,2025-03-22 10:50:05.355037,4.1,20,True
PROD-000022,SKU-922659,Realigned user-facing interface,Clothing,Women's,Wilkerson Ltd,649.05,231.03,34.27,57x53x36,Green,XS,False,369,14,SUPP-051,2024-06-25 10:49:27.611047,2024-11-18 23:17:20.059399,snowflake,2025-03-22 10:50:05.355037,3.8,31,False
PROD-000023,SKU-418801,Down-sized explicit protocol,Books,Fiction,Sanchez-Brown,191.35,379.66,30.94,54x72x5,White,M,True,53,74,SUPP-006,2022-11-13 14:35:46.497861,2025-10-08 05:55:23.590261,snowflake,2025-03-22 10:50:05.355037,4.0,24,True
PROD-000024,SKU-763938,Ergonomic logistical productivity,Electronics,Smartphones,Wilson-Cook,302.98,180.36,42.74,16x10x13,Orange,XL,False,565,57,SUPP-003,2023-07-09 02:28:32.674317,2025-07-25 14:27:52.226780,snowflake,2025-03-22 10:50:05.355037,4.4,21,True
PROD-000025,SKU-116367,Seamless scalable collaboration,Toys,Dolls,"Jenkins, Fischer and Pena",129.2,365.18,45.75,10x16x48,Green,XL,True,24,84,SUPP-060,2023-05-03 17:56:32.646203,2025-05-13 07:26:00.605214,snowflake,2025-03-22 10:50:05.355037,3.6,17,True
PROD-000026,SKU-563788,Function-based radical encoding,Sports,Fitness,Anderson-Wilkerson,20.62,282.48,2.29,79x9x19,Black,S,True,870,58,SUPP-097,2022-11-15 19:19:28.085022,2025-10-01 08:59:24.955481,snowflake,2025-03-22 10:50:05.355037,3.5,27,True
PROD-000027,SKU-315303,Distributed hybrid benchmark,Home,Other,Phillips-Moore,206.45,414.61,16.48,12x84x35,Purple,XXL,False,448,96,SUPP-029,2023-03-05 20:14:21.855910,2025-02-04 13:03:29.553947,snowflake,2025-03-22 10:50:05.355037,2.8,25,True
PROD-000028,SKU-652822,Exclusive intangible leverage,Books,Non-Fiction,"Clark, Willis and Gill",809.79,219.85,45.21,31x83x47,Red,XL,False,16,16,SUPP-026,2023-09-10 13:45:19.226373,2025-06-01 09:24:30.094220,snowflake,2025-03-22 10:50:05.355037,3.9,23,True
PROD-000029,SKU-334391,Implemented eco-centric adapter,Clothing,Accessories,"Norman, Jones and Hardy",157.59,385.0,34.64,70x99x30,Orange,M,True,835,82,SUPP-045,2023-01-15 05:45:39.557653,2025-05-24 02:53:55.148042,snowflake,2025-03-22 10:50:05.355037,2.6,21,True
PROD-000030,SKU-549698,Balanced clear-thinking hardware,Home,Other,"Thompson, Freeman and Wagner",112.82,239.8,5.45,68x90x50,Black,One Size,False,64,63,SUPP-081,2024-05-08 07:16:19.024913,2025-08-31 14:31:09.401482,snowflake,2025-03-22 10:50:05.355037,4.1,28,True
PROD-000031,SKU-526826,Cross-group homogeneous groupware,Home,Other,Hall-Patrick,665.36,15.41,16.21,1x90x25,Blue,One Size,False,747,95,SUPP-080,2023-01-28 18:05:23.349537,2024-12-20 18:42:24.831617,snowflake,2025-03-22 10:50:05.355037,4.0,27,True
PROD-000032,SKU-665966,Face-to-face mobile success,Home,Other,Brown-White,271.25,441.06,6.94,84x89x29,Blue,L,True,526,45,SUPP-010,2024-09-23 10:20:47.119939,2025-06-25 11:28:28.954808,snowflake,2025-03-22 10:50:05.355037,3.3,21,True
PROD-000033,SKU-291143,Inverse solution-oriented firmware,Electronics,Gaming,Waters-Porter,952.07,292.64,31.55,32x58x34,Purple,M,False,537,64,SUPP-026,2024-08-26 15:10:58.921915,2025-08-24 20:31:30.169332,snowflake,2025-03-22 10:50:05.355037,4.1,28,True
PROD-000034,SKU-179696,Total encompassing architecture,Toys,Dolls,Johnson-House,347.08,399.43,14.59,23x67x39,Red,XS,True,643,96,SUPP-092,2023-03-24 03:19:38.665440,2025-09-01 18:44:16.495755,snowflake,2025-03-22 10:50:05.355037,3.8,32,True
PROD-000035,SKU-310571,User-centric object-oriented process improvement,Home,Other,Perez-Schwartz,959.64,320.24,18.52,89x53x9,Purple,L,False,317,16,SUPP-058,2024-06-05 00:03:23.732976,2025-01-24 06:50:30.034305,snowflake,2025-03-22 10:50:05.355037,5.0,29,False
PROD-000036,SKU-163167,Re-contextualized foreground emulation,Sports,Winter Sports,"Jones, Willis and Booker",896.45,90.41,13.81,87x56x24,Black,XXL,True,583,56,SUPP-075,2024-03-06 19:39:54.622356,2025-05-27 02:25:32.894516,snowflake,2025-03-22 10:50:05.355037,4.8,14,True
PROD-000037,SKU-345300,Assimilated mobile budgetary management,Home,Other,"Gardner, Davis and Vazquez",250.78,308.57,49.49,17x46x35,Red,XL,True,486,78,SUPP-060,2024-09-01 03:34:45.863855,2025-02-26 02:34:18.839164,snowflake,2025-03-22 10:50:05.355037,3.8,25,True
PROD-000038,SKU-542463,Front-line intermediate utilization,Electronics,Laptops,Lewis-Rivera,645.77,153.71,9.7,58x56x33,Black,S,True,596,77,SUPP-099,2023-01-14 19:39:54.921745,2025-01-02 05:21:48.097727,snowflake,2025-03-22 10:50:05.355037,5.0,23,True
PROD-000039,SKU-300958,Automated analyzing productivity,Clothing,Kids,"Russell, Lyons and Jimenez",297.7,175.34,0.53,93x5x32,Red,XL,False,984,63,SUPP-076,2024-01-10 15:29:49.931917,2025-03-01 10:03:22.791302,snowflake,2025-03-22 10:50:05.355037,3.3,23,True
PROD-000040,SKU-176602,Distributed interactive budgetary management,Toys,Dolls,Warren-Montgomery,319.03,213.48,32.34,39x65x35,Red,M,False,676,76,SUPP-038,2023-04-22 08:00:41.776915,2024-12-02 00:18:18.730197,snowflake,2025-03-22 10:50:05.355037,4.3,21,True
PROD-000041,SKU-337008,Adaptive needs-based open architecture,Toys,Action Figures,"Martinez, Allen and Lang",983.51,459.54,36.47,35x8x45,Black,One Size,False,515,62,SUPP-002,2024-06-10 21:08:22.897835,2025-09-06 15:21:04.660837,snowflake,2025-03-22 10:50:05.355037,4.0,25,True
PROD-000042,SKU-381039,Multi-layered well-modulated productivity,Books,Reference,Martin-Luna,661.86,133.09,21.15,86x40x17,Purple,XS,True,986,67,SUPP-051,2024-07-20 04:38:42.278709,2025-08-07 21:13:43.748572,snowflake,2025-03-22 10:50:05.355037,4.1,22,False
PROD-000043,SKU-139771,Self-enabling content-based hardware,Toys,Educational,"Sims, Ramirez and Mullen",520.46,91.58,46.46,1x91x1,Black,XXL,False,740,17,SUPP-068,2023-09-19 14:52:40.044310,2025-03-02 23:49:37.337324,snowflake,2025-03-22 10:50:05.355037,3.6,34,True
PROD-000044,SKU-154882,Enterprise-wide 24/7 concept,Electronics,Laptops,Hernandez Inc,585.65,35.83,7.88,70x83x4,Red,XL,False,752,76,SUPP-007,2023-09-23 00:26:53.051297,2025-02-27 20:50:48.263800,snowflake,2025-03-22 10:50:05.355037,4.4,28,True
PROD-000045,SKU-998068,Open-source needs-based intranet,Home,Other,"Jefferson, Sanchez and Melton",949.3,18.85,30.54,22x97x13,Red,M,False,198,74,SUPP-072,2023-10-18 04:58:57.127464,2025-06-13 21:37:38.712991,snowflake,2025-03-22 10:50:05.355037,4.6,21,True
PROD-000046,SKU-666228,Exclusive exuding budgetary management,Home,Other,"Walton, Newman and Lee",730.05,454.45,40.14,98x4x12,Red,One Size,True,520,18,SUPP-030,2023-03-22 03:56:48.789000,2025-09-23 03:18:56.030125,snowflake,2025-03-22 10:50:05.355037,3.5,27,True
PROD-000047,SKU-154982,Mandatory homogeneous access,Electronics,Smartphones,Ho Ltd,74.88,177.53,23.3,16x61x24,Blue,One Size,True,266,37,SUPP-049,2023-12-12 10:45:18.134902,2025-07-24 20:34:17.380931,snowflake,2025-03-22 10:50:05.355037,3.2,21,True
PROD-000048,SKU-120011,Innovative 5thgeneration extranet,Electronics,Accessories,"Wilcox, Barajas and Thompson",578.71,211.66,41.56,94x3x10,Black,M,True,676,73,SUPP-023,2022-12-12 07:39:26.772189,2025-02-19 09:00:14.101037,snowflake,2025-03-22 10:50:05.355037,3.4,32,True
PROD-000049,SKU-449626,Reactive zero-defect collaboration,Sports,Water Sports,Jones-Middleton,154.44,123.32,46.39,24x65x39,Green,One Size,False,596,62,SUPP-032,2023-02-28 22:22:17.832486,2024-10-20 20:34:54.400703,snowflake,2025-03-22 10:50:05.355037,4.1,20,True
PROD-000050,SKU-984860,Expanded homogeneous data-warehouse,Electronics,Laptops,Johnson LLC,558.23,375.3,15.65,20x98x34,Black,XS,True,699,74,SUPP-006,2023-05-27 10:08:11.751995,2025-04-03 10:47:16.146732,snowflake,2025-03-22 10:50:05.355037,5.0,23,True
PROD-000051,SKU-695429,Persistent static installation,Electronics,Gaming,"Levine, Garrison and Edwards",210.66,473.83,42.27,60x52x40,Blue,L,True,623,48,SUPP-063,2023-10-03 06:54:42.591778,2024-10-26 23:29:14.219642,snowflake,2025-03-22 10:50:05.355037,5.0,23,True
PROD-000052,SKU-805223,Object-based client-driven instruction set,Sports,Team Sports,Wilson-Vang,622.27,188.24,18.65,1x68x11,Orange,One Size,True,226,99,SUPP-067,2024-01-12 20:17:08.428588,2025-05-05 15:09:37.073575,snowflake,2025-03-22 10:50:05.355037,4.7,20,True
PROD-000053,SKU-249607,Mandatory foreground artificial intelligence,Electronics,Tablets,Schultz-Morris,248.15,110.7,38.83,20x40x29,Purple,XL,True,336,83,SUPP-060,2024-01-09 11:15:35.115838,2025-05-09 16:03:12.685939,snowflake,2025-03-22 10:50:05.355037,4.6,29,True
PROD-000054,SKU-527282,Vision-oriented homogeneous paradigm,Sports,Winter Sports,Alexander-Lee,403.96,372.93,7.3,87x10x50,White,L,True,531,73,SUPP-040,2024-03-08 14:41:30.132791,2024-10-29 10:48:28.904259,snowflake,2025-03-22 10:50:05.355037,5.0,17,True
PROD-000055,SKU-251921,Reduced asynchronous monitoring,Toys,Dolls,Morris Ltd,727.31,224.9,35.37,7x71x48,Red,L,False,174,37,SUPP-073,2023-03-04 00:22:21.049444,2025-04-18 15:42:46.794487,snowflake,2025-03-22 10:50:05.355037,5.0,18,True
PROD-000056,SKU-974054,Stand-alone zero-defect encryption,Home,Other,Horton and Sons,379.88,249.08,40.34,94x30x50,Red,XXL,False,150,75,SUPP-038,2024-03-30 04:01:40.435324,2024-12-02 01:17:50.677540,snowflake,2025-03-22 10:50:05.355037,5.0,28,True
PROD-000057,SKU-600230,Proactive user-facing implementation,Electronics,Accessories,Ellis-Brown,60.87,355.93,17.74,41x40x47,Yellow,XL,True,502,84,SUPP-029,2024-08-26 09:20:58.826544,2025-07-01 00:08:35.975830,snowflake,2025-03-22 10:50:05.355037,3.7,29,True
PROD-000058,SKU-504051,Decentralized methodical conglomeration,Home,Other,Andrews PLC,735.0,159.76,23.65,67x12x47,Orange,L,False,248,67,SUPP-016,2023-05-28 21:38:16.017162,2025-03-13 00:23:43.754024,snowflake,2025-03-22 10:50:05.355037,5.0,18,False
PROD-000059,SKU-873557,Down-sized attitude-oriented installation,Electronics,Accessories,Wilkinson-Weiss,978.13,475.65,13.09,16x18x21,Orange,S,False,821,16,SUPP-011,2024-09-06 11:37:01.890404,2025-04-23 04:35:57.729429,snowflake,2025-03-22 10:50:05.355037,4.1,34,True
PROD-000060,SKU-206407,Synergized intermediate benchmark,Electronics,Gaming,Turner-Edwards,296.11,3.21,21.09,82x75x40,Red,One Size,True,17,40,SUPP-045,2024-05-23 15:35:52.336825,2025-10-12 03:09:10.834863,snowflake,2025-03-22 10:50:05.355037,4.7,23,True
PROD-000061,SKU-502704,User-friendly optimizing solution,Home,Other,"Simpson, Brown and Cameron",562.47,135.04,45.73,1x43x34,Green,M,False,418,56,SUPP-030,2023-11-05 05:21:42.743060,2024-11-08 09:28:10.279130,snowflake,2025-03-22 10:50:05.355037,4.6,25,False
PROD-000062,SKU-243742,Re-engineered 6thgeneration architecture,Books,Reference,Diaz-Dean,908.5,346.53,9.93,49x14x45,Yellow,XS,True,933,54,SUPP-055,2023-02-09 08:58:31.263980,2025-05-05 07:32:04.762331,snowflake,2025-03-22 10:50:05.355037,4.6,27,True
PROD-000063,SKU-674153,Diverse 5thgeneration access,Electronics,Accessories,"Bowers, Vega and Burns",211.0,69.7,21.14,35x20x47,Red,XL,True,747,14,SUPP-087,2022-11-19 03:09:15.348903,2025-06-14 19:51:07.895728,snowflake,2025-03-22 10:50:05.355037,5.0,23,True
PROD-000064,SKU-235150,Business-focused well-modulated Graphical User Interface,Clothing,Kids,Turner Group,865.75,270.21,32.72,51x52x49,Yellow,One Size,False,889,57,SUPP-037,2023-08-10 14:32:35.515696,2025-02-10 09:08:31.060856,snowflake,2025-03-22 10:50:05.355037,4.6,22,True
PROD-000065,SKU-691698,Virtual regional synergy,Toys,Action Figures,Wade Inc,622.49,305.85,29.58,15x59x38,Blue,L,True,366,15,SUPP-066,2024-06-30 04:01:37.743559,2025-10-07 16:37:26.733137,snowflake,2025-03-22 10:50:05.355037,2.9,30,True
PROD-000066,SKU-499423,Up-sized bifurcated interface,Clothing,Accessories,Young Ltd,357.72,228.03,27.92,6x54x46,Blue,One Size,False,435,96,SUPP-072,2022-11-15 06:47:54.647139,2025-05-05 09:18:55.866478,snowflake,2025-03-22 10:50:05.355037,3.8,23,False
PROD-000067,SKU-520054,Organized didactic array,Books,Educational,"Hanna, Davis and Mcdonald",681.75,202.88,12.63,96x18x5,Green,XS,True,471,53,SUPP-005,2023-09-23 18:28:38.010964,2025-03-04 21:24:38.161534,snowflake,2025-03-22 10:50:05.355037,4.5,34,False
PROD-000068,SKU-378103,Fully-configurable fault-tolerant infrastructure,Toys,Action Figures,Lane-Norman,369.17,401.04,48.73,91x60x30,White,XS,False,70,59,SUPP-059,2022-12-27 00:25:46.800798,2025-05-11 15:01:32.195664,snowflake,2025-03-22 10:50:05.355037,3.3,31,True
PROD-000069,SKU-459516,Mandatory analyzing application,Toys,Dolls,Harper-Thompson,712.46,489.83,2.75,28x43x13,Orange,M,True,865,68,SUPP-077,2023-07-11 18:46:46.620730,2025-04-07 03:04:40.388824,snowflake,2025-03-22 10:50:05.355037,3.8,25,True
PROD-000070,SKU-185517,Synchronized 3rdgeneration moratorium,Books,Fiction,Griffin Inc,382.14,220.91,0.99,42x15x22,White,L,False,632,93,SUPP-056,2023-04-12 21:58:36.420929,2025-08-19 18:59:56.422217,snowflake,2025-03-22 10:50:05.355037,3.5,29,True
PROD-000071,SKU-247659,User-centric zero administration protocol,Home,Other,Moore Group,140.7,385.93,35.48,16x31x14,Yellow,L,False,940,99,SUPP-094,2023-07-06 20:40:34.675739,2024-10-24 06:29:13.609396,snowflake,2025-03-22 10:50:05.355037,4.4,26,True
PROD-000072,SKU-180569,Universal holistic info-mediaries,Home,Other,"May, Burns and Lynn",592.64,390.16,46.26,72x22x23,White,L,True,786,91,SUPP-051,2023-08-24 05:02:26.104873,2025-07-14 08:03:40.199338,snowflake,2025-03-22 10:50:05.355037,3.4,21,True
PROD-000073,SKU-815829,Ameliorated incremental architecture,Electronics,Smartphones,Gibbs-Holloway,548.59,429.28,19.11,68x83x12,Black,XL,False,734,67,SUPP-022,2023-12-14 19:55:30.969234,2025-01-24 02:23:18.858767,snowflake,2025-03-22 10:50:05.355037,4.2,29,True
PROD-000074,SKU-143685,Adaptive system-worthy hardware,Clothing,Men's,Abbott-Fisher,368.82,411.82,11.41,63x42x14,White,S,False,613,94,SUPP-088,2023-04-24 02:47:39.813582,2025-04-26 18:41:17.050463,snowflake,2025-03-22 10:50:05.355037,3.6,27,True
PROD-000075,SKU-531105,Cross-platform 24hour secured line,Clothing,Kids,Rodriguez-Houston,790.74,324.29,31.5,34x78x35,Red,XS,False,436,57,SUPP-046,2023-02-20 06:25:17.740834,2025-03-20 10:34:30.990992,snowflake,2025-03-22 10:50:05.355037,4.6,19,True
PROD-000076,SKU-687999,Robust uniform artificial intelligence,Toys,Action Figures,Lopez and Sons,817.04,35.71,7.61,85x2x47,Yellow,XS,True,946,10,SUPP-064,2024-04-03 22:42:01.547402,2025-01-10 09:18:34.061230,snowflake,2025-03-22 10:50:05.355037,3.4,16,True
PROD-000077,SKU-278852,Enterprise-wide bi-directional infrastructure,Clothing,Shoes,Nelson-Graham,505.71,52.56,0.14,27x65x40,Green,One Size,False,168,36,SUPP-075,2024-05-18 04:47:17.366202,2025-10-04 18:23:29.383704,snowflake,2025-03-22 10:50:05.355037,5.0,25,True
PROD-000078,SKU-679970,Monitored eco-centric analyzer,Sports,Team Sports,Roberts-Smith,62.22,155.8,26.9,47x57x46,Green,One Size,False,500,90,SUPP-078,2022-12-25 03:20:16.161416,2025-07-22 00:12:25.598472,snowflake,2025-03-22 10:50:05.355037,3.3,19,True
PROD-000079,SKU-848259,Vision-oriented zero-defect methodology,Sports,Fitness,"Mcdonald, Hammond and Hudson",457.4,338.54,47.1,18x72x11,Yellow,XXL,False,765,100,SUPP-052,2023-03-06 04:33:48.154395,2025-09-22 17:20:58.095253,snowflake,2025-03-22 10:50:05.355037,5.0,21,True
PROD-000080,SKU-706313,Managed well-modulated model,Sports,Water Sports,Mathews-Nelson,60.06,253.85,47.18,18x40x30,Orange,S,False,898,12,SUPP-022,2023-05-23 12:50:20.882508,2024-11-24 18:21:39.558857,snowflake,2025-03-22 10:50:05.355037,4.7,30,False
PROD-000081,SKU-290844,Exclusive transitional Graphical User Interface,Clothing,Men's,"Valencia, Hughes and Brooks",319.75,428.82,8.31,39x23x11,Yellow,XXL,True,96,60,SUPP-096,2024-08-02 20:15:43.208960,2025-09-16 06:54:54.671076,snowflake,2025-03-22 10:50:05.355037,3.2,28,True
PROD-000082,SKU-666409,Optimized upward-trending adapter,Books,Children's,Swanson-Golden,914.36,136.91,3.27,35x12x21,Black,S,False,736,27,SUPP-073,2023-03-22 17:42:47.803272,2025-07-25 00:53:03.050563,snowflake,2025-03-22 10:50:05.355037,3.5,34,True
PROD-000083,SKU-389098,User-friendly tangible success,Books,Children's,Perry and Sons,337.58,60.84,29.97,20x17x21,Yellow,M,True,14,43,SUPP-055,2023-11-04 23:22:01.741384,2025-06-28 22:51:45.901224,snowflake,2025-03-22 10:50:05.355037,5.0,24,True
PROD-000084,SKU-638953,Inverse context-sensitive contingency,Books,Educational,Mitchell-Davis,520.35,424.12,25.1,74x26x11,White,XL,False,667,50,SUPP-095,2022-12-11 20:10:07.604415,2025-07-09 16:50:08.246675,snowflake,2025-03-22 10:50:05.355037,4.5,26,True
PROD-000085,SKU-201056,Face-to-face disintermediate ability,Books,Educational,Weber PLC,166.75,212.16,15.88,25x97x38,Purple,M,False,828,96,SUPP-077,2022-11-02 19:03:14.305585,2024-10-22 00:32:49.148666,snowflake,2025-03-22 10:50:05.355037,3.8,21,True
PROD-000086,SKU-619241,Team-oriented tertiary extranet,Clothing,Shoes,Martin-Ali,109.19,397.98,33.84,23x28x13,Red,XXL,False,738,31,SUPP-063,2024-07-01 17:16:52.706122,2025-10-02 09:11:55.464918,snowflake,2025-03-22 10:50:05.355037,4.9,30,True
PROD-000087,SKU-137930,Front-line grid-enabled moderator,Sports,Water Sports,Washington-Davila,87.99,200.52,48.59,62x27x14,Blue,M,False,745,15,SUPP-034,2024-10-06 16:13:04.396565,2025-01-21 21:32:42.652622,snowflake,2025-03-22 10:50:05.355037,3.2,27,True
PROD-000088,SKU-910151,Monitored motivating challenge,Toys,Outdoor,Mcmahon-Maldonado,67.02,144.54,9.77,15x86x30,Black,M,True,470,62,SUPP-044,2024-08-29 06:15:04.408058,2024-12-20 03:55:14.827757,snowflake,2025-03-22 10:50:05.355037,4.6,24,True
PROD-000089,SKU-806802,Synergized static matrix,Home,Other,Sparks-Davis,991.39,469.93,11.67,95x25x23,Black,XS,True,380,44,SUPP-035,2023-10-19 06:39:16.823640,2025-01-16 21:23:13.982744,snowflake,2025-03-22 10:50:05.355037,4.4,30,True
PROD-000090,SKU-197278,Streamlined 3rdgeneration implementation,Home,Other,James Inc,223.24,21.46,30.91,74x82x12,White,One Size,True,41,52,SUPP-011,2024-05-21 09:37:38.581388,2024-10-26 21:39:12.835274,snowflake,2025-03-22 10:50:05.355037,3.7,17,False
PROD-000091,SKU-828445,Triple-buffered interactive interface,Books,Reference,"White, Rhodes and Carroll",449.15,19.38,3.05,89x1x17,Purple,XS,False,467,56,SUPP-049,2023-04-28 13:21:44.068174,2025-04-22 21:54:54.078625,snowflake,2025-03-22 10:50:05.355037,3.7,22,True
PROD-000092,SKU-338371,Fully-configurable zero tolerance capacity,Books,Fiction,Ortega-Boyd,527.64,363.84,10.68,70x92x3,White,S,False,14,98,SUPP-092,2024-06-08 22:07:07.313601,2024-12-09 19:23:43.741166,snowflake,2025-03-22 10:50:05.355037,1.9,20,True
PROD-000093,SKU-246699,Implemented dedicated utilization,Toys,Outdoor,Esparza-Liu,703.35,145.06,39.49,15x83x28,Blue,XS,False,142,75,SUPP-001,2023-08-05 17:43:24.367411,2025-05-06 03:48:13.771794,snowflake,2025-03-22 10:50:05.355037,5.0,31,False
PROD-000094,SKU-975693,Innovative multi-tasking framework,Electronics,Laptops,"Wood, Odonnell and Mccoy",344.75,131.86,17.32,7x64x14,Green,One Size,True,33,77,SUPP-007,2024-10-13 01:58:50.140370,2025-08-28 19:32:42.210812,snowflake,2025-03-22 10:50:05.355037,4.6,27,True
