as_of_date,base_ccy,ccy,rate_to_base,fetched_at
2025-06-05,USD,SEK,10.398594,2025-10-12T03:24:11.647107
2025-06-05,USD,NOK,10.877552,2025-10-12T03:24:11.647114
2025-06-05,USD,DKK,6.833751,2025-10-12T03:24:11.647121
2025-06-05,USD,NZD,1.655908,2025-10-12T03:24:11.647128
2025-06-05,USD,PLN,4.052988,2025-10-12T03:24:11.647135
2025-06-05,USD,THB,36.434767,2025-10-12T03:24:11.647142
2025-06-05,USD,BRL,5.134718,2025-10-12T03:24:11.647150
2025-06-05,USD,TRY,33.09367,2025-10-12T03:24:11.647158
2025-06-05,USD,KRW,1340.252628,2025-10-12T03:24:11.647166
2025-06-05,USD,MYR,4.65557,2025-10-12T03:24:11.647173
2025-06-05,USD,PHP,56.696967,2025-10-12T03:24:11.647181
2025-06-05,USD,IDR,15423.27707,2025-10-12T03:24:11.647188
2025-06-05,USD,ARS,917.099715,2025-10-12T03:24:11.647195
2025-06-05,USD,CLP,912.856055,2025-10-12T03:24:11.647203
2025-06-05,USD,CZK,23.282878,2025-10-12T03:24:11.647210
2025-06-05,USD,VND,24162.44895,2025-10-12T03:24:11.647219
2025-06-06,USD,USD,0.988555,2025-10-12T03:24:11.647226
2025-06-06,USD,EUR,0.930675,2025-10-12T03:24:11.647234
2025-06-06,USD,GBP,0.768602,2025-10-12T03:24:11.647242
2025-06-06,USD,INR,85.02968,2025-10-12T03:24:11.647249
2025-06-06,USD,CAD,1.352765,2025-10-12T03:24:11.647257
2025-06-06,USD,AUD,1.480433,2025-10-12T03:24:11.647264
2025-06-06,USD,JPY,150.209225,2025-10-12T03:24:11.647273
2025-06-06,USD,CHF,0.917162,2025-10-12T03:24:11.647280
2025-06-06,USD,CNY,7.200432,2025-10-12T03:24:11.647288
2025-06-06,USD,SGD,1.370452,2025-10-12T03:24:11.647295
2025-06-06,USD,HKD,7.822307,2025-10-12T03:24:11.647303
2025-06-06,USD,AED,3.66283,2025-10-12T03:24:11.647310
2025-06-06,USD,ZAR,17.973306,2025-10-12T03:24:11.647318
2025-06-06,USD,MXN,17.110822,2025-10-12T03:24:11.647325
2025-06-06,USD,SEK,10.408407,2025-10-12T03:24:11.647332
2025-06-06,USD,NOK,10.896594,2025-10-12T03:24:11.647339
2025-06-06,USD,DKK,6.832019,2025-10-12T03:24:11.647346
2025-06-06,USD,NZD,1.660785,2025-10-12T03:24:11.647353
2025-06-06,USD,PLN,4.037606,2025-10-12T03:24:11.647361
2025-06-06,USD,THB,36.499161,2025-10-12T03:24:11.647368
2025-06-06,USD,BRL,5.129536,2025-10-12T03:24:11.647375
2025-06-06,USD,TRY,33.00182,2025-10-12T03:24:11.647383
2025-06-06,USD,KRW,1339.818828,2025-10-12T03:24:11.647391
2025-06-06,USD,MYR,4.651468,2025-10-12T03:24:11.647399
2025-06-06,USD,PHP,56.768185,2025-10-12T03:24:11.647406
2025-06-06,USD,IDR,15484.913738,2025-10-12T03:24:11.647413
2025-06-06,USD,ARS,914.937876,2025-10-12T03:24:11.647421
2025-06-06,USD,CLP,914.53072,2025-10-12T03:24:11.647428
2025-06-06,USD,CZK,23.321811,2025-10-12T03:24:11.647435
2025-06-06,USD,VND,24253.258624,2025-10-12T03:24:11.647442
2025-06-07,USD,USD,0.989899,2025-10-12T03:24:11.647450
2025-06-07,USD,EUR,0.930912,2025-10-12T03:24:11.647457
2025-06-07,USD,GBP,0.77006,2025-10-12T03:24:11.647464
2025-06-07,USD,INR,84.767514,2025-10-12T03:24:11.647471
2025-06-07,USD,CAD,1.354007,2025-10-12T03:24:11.647478
2025-06-07,USD,AUD,1.478196,2025-10-12T03:24:11.647486
2025-06-07,USD,JPY,150.700992,2025-10-12T03:24:11.647493
2025-06-07,USD,CHF,0.920785,2025-10-12T03:24:11.647500
2025-06-07,USD,CNY,7.227024,2025-10-12T03:24:11.647507
2025-06-07,USD,SGD,1.367561,2025-10-12T03:24:11.647515
2025-06-07,USD,HKD,7.809328,2025-10-12T03:24:11.647522
2025-06-07,USD,AED,3.67149,2025-10-12T03:24:11.647532
2025-06-07,USD,ZAR,17.950775,2025-10-12T03:24:11.647540
2025-06-07,USD,MXN,17.063815,2025-10-12T03:24:11.647547
2025-06-07,USD,SEK,10.418832,2025-10-12T03:24:11.647554
2025-06-07,USD,NOK,10.871489,2025-10-12T03:24:11.647561
2025-06-07,USD,DKK,6.834324,2025-10-12T03:24:11.647569
2025-06-07,USD,NZD,1.665776,2025-10-12T03:24:11.647576
2025-06-07,USD,PLN,4.040102,2025-10-12T03:24:11.647583
2025-06-07,USD,THB,36.473551,2025-10-12T03:24:11.647591
2025-06-07,USD,BRL,5.137849,2025-10-12T03:24:11.647599
2025-06-07,USD,TRY,33.112564,2025-10-12T03:24:11.647607
2025-06-07,USD,KRW,1339.623171,2025-10-12T03:24:11.647614
2025-06-07,USD,MYR,4.641804,2025-10-12T03:24:11.647622
2025-06-07,USD,PHP,56.977238,2025-10-12T03:24:11.647629
2025-06-07,USD,IDR,15508.582393,2025-10-12T03:24:11.647636
2025-06-07,USD,ARS,918.533592,2025-10-12T03:24:11.647644
2025-06-07,USD,CLP,913.633705,2025-10-12T03:24:11.647651
2025-06-07,USD,CZK,23.262538,2025-10-12T03:24:11.647659
2025-06-07,USD,VND,24295.461597,2025-10-12T03:24:11.647666
2025-06-08,USD,USD,0.987176,2025-10-12T03:24:11.647673
2025-06-08,USD,EUR,0.929277,2025-10-12T03:24:11.647680
2025-06-08,USD,GBP,0.768748,2025-10-12T03:24:11.647688
2025-06-08,USD,INR,84.74933,2025-10-12T03:24:11.647696
2025-06-08,USD,CAD,1.355807,2025-10-12T03:24:11.647703
2025-06-08,USD,AUD,1.48219,2025-10-12T03:24:11.647710
2025-06-08,USD,JPY,150.591879,2025-10-12T03:24:11.647717
2025-06-08,USD,CHF,0.923887,2025-10-12T03:24:11.647725
2025-06-08,USD,CNY,7.203869,2025-10-12T03:24:11.647732
2025-06-08,USD,SGD,1.370045,2025-10-12T03:24:11.647739
2025-06-08,USD,HKD,7.80223,2025-10-12T03:24:11.647747
2025-06-08,USD,AED,3.67567,2025-10-12T03:24:11.647754
2025-06-08,USD,ZAR,17.946381,2025-10-12T03:24:11.647761
2025-06-08,USD,MXN,17.021502,2025-10-12T03:24:11.647770
2025-06-08,USD,SEK,10.454575,2025-10-12T03:24:11.647777
2025-06-08,USD,NOK,10.907654,2025-10-12T03:24:11.647784
2025-06-08,USD,DKK,6.841164,2025-10-12T03:24:11.647791
2025-06-08,USD,NZD,1.665893,2025-10-12T03:24:11.647798
2025-06-08,USD,PLN,4.04533,2025-10-12T03:24:11.647806
2025-06-08,USD,THB,36.565301,2025-10-12T03:24:11.647813
2025-06-08,USD,BRL,5.127956,2025-10-12T03:24:11.647820
2025-06-08,USD,TRY,33.055175,2025-10-12T03:24:11.647828
2025-06-08,USD,KRW,1341.848717,2025-10-12T03:24:11.647835
2025-06-08,USD,MYR,4.63195,2025-10-12T03:24:11.647843
2025-06-08,USD,PHP,57.081121,2025-10-12T03:24:11.647850
2025-06-08,USD,IDR,15538.589162,2025-10-12T03:24:11.647858
2025-06-08,USD,ARS,917.074314,2025-10-12T03:24:11.647865
2025-06-08,USD,CLP,912.674068,2025-10-12T03:24:11.647872
2025-06-08,USD,CZK,23.349362,2025-10-12T03:24:11.647880
2025-06-08,USD,VND,24310.615592,2025-10-12T03:24:11.647887
2025-06-09,USD,USD,0.990435,2025-10-12T03:24:11.647894
2025-06-09,USD,EUR,0.930085,2025-10-12T03:24:11.647902
2025-06-09,USD,GBP,0.770219,2025-10-12T03:24:11.647909
2025-06-09,USD,INR,84.855551,2025-10-12T03:24:11.647916
2025-06-09,USD,CAD,1.353632,2025-10-12T03:24:11.647923
2025-06-09,USD,AUD,1.483337,2025-10-12T03:24:11.647930
2025-06-09,USD,JPY,150.42478,2025-10-12T03:24:11.647938
2025-06-09,USD,CHF,0.920809,2025-10-12T03:24:11.647945
2025-06-09,USD,CNY,7.199977,2025-10-12T03:24:11.647953
2025-06-09,USD,SGD,1.371991,2025-10-12T03:24:11.647960
2025-06-09,USD,HKD,7.784598,2025-10-12T03:24:11.647968
2025-06-09,USD,AED,3.66421,2025-10-12T03:24:11.647975
2025-06-09,USD,ZAR,18.01159,2025-10-12T03:24:11.647983
2025-06-09,USD,MXN,17.071555,2025-10-12T03:24:11.647991
2025-06-09,USD,SEK,10.439574,2025-10-12T03:24:11.647999
2025-06-09,USD,NOK,10.941827,2025-10-12T03:24:11.648008
2025-06-09,USD,DKK,6.824928,2025-10-12T03:24:11.648015
2025-06-09,USD,NZD,1.666681,2025-10-12T03:24:11.648023
2025-06-09,USD,PLN,4.056757,2025-10-12T03:24:11.648030
2025-06-09,USD,THB,36.57331,2025-10-12T03:24:11.648038
2025-06-09,USD,BRL,5.120892,2025-10-12T03:24:11.648045
2025-06-09,USD,TRY,33.166619,2025-10-12T03:24:11.648052
2025-06-09,USD,KRW,1344.466402,2025-10-12T03:24:11.648060
2025-06-09,USD,MYR,4.641162,2025-10-12T03:24:11.648067
2025-06-09,USD,PHP,57.248805,2025-10-12T03:24:11.648074
2025-06-09,USD,IDR,15565.592893,2025-10-12T03:24:11.648082
2025-06-09,USD,ARS,915.682315,2025-10-12T03:24:11.648089
2025-06-09,USD,CLP,914.665898,2025-10-12T03:24:11.648097
2025-06-09,USD,CZK,23.40517,2025-10-12T03:24:11.648104
2025-06-09,USD,VND,24255.984316,2025-10-12T03:24:11.648111
2025-06-10,USD,USD,0.99031,2025-10-12T03:24:11.648119
2025-06-10,USD,EUR,0.931867,2025-10-12T03:24:11.648126
2025-06-10,USD,GBP,0.771456,2025-10-12T03:24:11.648134
2025-06-10,USD,INR,84.740176,2025-10-12T03:24:11.648141
2025-06-10,USD,CAD,1.349663,2025-10-12T03:24:11.648148
2025-06-10,USD,AUD,1.479892,2025-10-12T03:24:11.648155
2025-06-10,USD,JPY,150.90999,2025-10-12T03:24:11.648163
2025-06-10,USD,CHF,0.917341,2025-10-12T03:24:11.648170
2025-06-10,USD,CNY,7.199579,2025-10-12T03:24:11.648178
2025-06-10,USD,SGD,1.370669,2025-10-12T03:24:11.648185
2025-06-10,USD,HKD,7.813141,2025-10-12T03:24:11.648193
2025-06-10,USD,AED,3.674601,2025-10-12T03:24:11.648200
2025-06-10,USD,ZAR,17.967618,2025-10-12T03:24:11.648207
2025-06-10,USD,MXN,17.096075,2025-10-12T03:24:11.648214
2025-06-10,USD,SEK,10.419556,2025-10-12T03:24:11.648221
2025-06-10,USD,NOK,10.959389,2025-10-12T03:24:11.648229
2025-06-10,USD,DKK,6.800181,2025-10-12T03:24:11.648236
2025-06-10,USD,NZD,1.662576,2025-10-12T03:24:11.648244
2025-06-10,USD,PLN,4.071472,2025-10-12T03:24:11.648251
2025-06-10,USD,THB,36.470004,2025-10-12T03:24:11.648259
2025-06-10,USD,BRL,5.108753,2025-10-12T03:24:11.648266
2025-06-10,USD,TRY,33.115938,2025-10-12T03:24:11.648274
2025-06-10,USD,KRW,1342.420958,2025-10-12T03:24:11.648282
2025-06-10,USD,MYR,4.636846,2025-10-12T03:24:11.648289
2025-06-10,USD,PHP,57.089509,2025-10-12T03:24:11.648296
2025-06-10,USD,IDR,15528.916704,2025-10-12T03:24:11.648304
2025-06-10,USD,ARS,916.923718,2025-10-12T03:24:11.648311
2025-06-10,USD,CLP,911.364989,2025-10-12T03:24:11.648319
2025-06-10,USD,CZK,23.415076,2025-10-12T03:24:11.648326
2025-06-10,USD,VND,24213.581707,2025-10-12T03:24:11.648333
2025-06-11,USD,USD,0.988855,2025-10-12T03:24:11.648340
2025-06-11,USD,EUR,0.935026,2025-10-12T03:24:11.648348
2025-06-11,USD,GBP,0.770714,2025-10-12T03:24:11.648355
2025-06-11,USD,INR,85.045438,2025-10-12T03:24:11.648362
2025-06-11,USD,CAD,1.350636,2025-10-12T03:24:11.648369
2025-06-11,USD,AUD,1.481731,2025-10-12T03:24:11.648376
2025-06-11,USD,JPY,150.630788,2025-10-12T03:24:11.648384
2025-06-11,USD,CHF,0.918252,2025-10-12T03:24:11.648391
2025-06-11,USD,CNY,7.228065,2025-10-12T03:24:11.648398
2025-06-11,USD,SGD,1.369681,2025-10-12T03:24:11.648406
2025-06-11,USD,HKD,7.841157,2025-10-12T03:24:11.648413
2025-06-11,USD,AED,3.673776,2025-10-12T03:24:11.648420
2025-06-11,USD,ZAR,17.961602,2025-10-12T03:24:11.648428
2025-06-11,USD,MXN,17.151297,2025-10-12T03:24:11.648435
2025-06-11,USD,SEK,10.449168,2025-10-12T03:24:11.648442
2025-06-11,USD,NOK,10.924088,2025-10-12T03:24:11.648449
2025-06-11,USD,DKK,6.802294,2025-10-12T03:24:11.648456
2025-06-11,USD,NZD,1.664923,2025-10-12T03:24:11.648464
2025-06-11,USD,PLN,4.061924,2025-10-12T03:24:11.648471
2025-06-11,USD,THB,36.389028,2025-10-12T03:24:11.648478
2025-06-11,USD,BRL,5.122395,2025-10-12T03:24:11.648486
2025-06-11,USD,TRY,33.173043,2025-10-12T03:24:11.648494
2025-06-11,USD,KRW,1346.124788,2025-10-12T03:24:11.648501
2025-06-11,USD,MYR,4.621901,2025-10-12T03:24:11.648508
2025-06-11,USD,PHP,56.869478,2025-10-12T03:24:11.648515
2025-06-11,USD,IDR,15546.923299,2025-10-12T03:24:11.648523
2025-06-11,USD,ARS,915.938199,2025-10-12T03:24:11.648530
2025-06-11,USD,CLP,914.559838,2025-10-12T03:24:11.648537
2025-06-11,USD,CZK,23.382611,2025-10-12T03:24:11.648544
2025-06-11,USD,VND,24238.754593,2025-10-12T03:24:11.648552
2025-06-12,USD,USD,0.984913,2025-10-12T03:24:11.648559
2025-06-12,USD,EUR,0.933895,2025-10-12T03:24:11.648566
2025-06-12,USD,GBP,0.771459,2025-10-12T03:24:11.648573
2025-06-12,USD,INR,84.746841,2025-10-12T03:24:11.648581
2025-06-12,USD,CAD,1.354465,2025-10-12T03:24:11.648588
2025-06-12,USD,AUD,1.476062,2025-10-12T03:24:11.648595
2025-06-12,USD,JPY,150.858958,2025-10-12T03:24:11.648602
2025-06-12,USD,CHF,0.920793,2025-10-12T03:24:11.648610
2025-06-12,USD,CNY,7.239791,2025-10-12T03:24:11.648617
2025-06-12,USD,SGD,1.367582,2025-10-12T03:24:11.648624
2025-06-12,USD,HKD,7.811107,2025-10-12T03:24:11.648631
2025-06-12,USD,AED,3.684736,2025-10-12T03:24:11.648638
2025-06-12,USD,ZAR,17.975335,2025-10-12T03:24:11.648645
2025-06-12,USD,MXN,17.162511,2025-10-12T03:24:11.648653
2025-06-12,USD,SEK,10.461685,2025-10-12T03:24:11.648660
2025-06-12,USD,NOK,10.9262,2025-10-12T03:24:11.648667
2025-06-12,USD,DKK,6.814053,2025-10-12T03:24:11.648674
2025-06-12,USD,NZD,1.669936,2025-10-12T03:24:11.648681
2025-06-12,USD,PLN,4.047664,2025-10-12T03:24:11.648688
2025-06-12,USD,THB,36.402726,2025-10-12T03:24:11.648696
2025-06-12,USD,BRL,5.127885,2025-10-12T03:24:11.648703
2025-06-12,USD,TRY,33.048104,2025-10-12T03:24:11.648711
2025-06-12,USD,KRW,1346.410784,2025-10-12T03:24:11.648719
2025-06-12,USD,MYR,4.604063,2025-10-12T03:24:11.648727
2025-06-12,USD,PHP,56.675957,2025-10-12T03:24:11.648735
2025-06-12,USD,IDR,15607.6291,2025-10-12T03:24:11.648742
2025-06-12,USD,ARS,916.297067,2025-10-12T03:24:11.648749
2025-06-12,USD,CLP,913.782127,2025-10-12T03:24:11.648756
2025-06-12,USD,CZK,23.387621,2025-10-12T03:24:11.648763
2025-06-12,USD,VND,24193.061036,2025-10-12T03:24:11.648771
2025-06-13,USD,USD,0.98231,2025-10-12T03:24:11.648778
2025-06-13,USD,EUR,0.936665,2025-10-12T03:24:11.648785
2025-06-13,USD,GBP,0.773358,2025-10-12T03:24:11.648792
2025-06-13,USD,INR,84.59823,2025-10-12T03:24:11.648800
2025-06-13,USD,CAD,1.359556,2025-10-12T03:24:11.648807
2025-06-13,USD,AUD,1.472687,2025-10-12T03:24:11.648814
2025-06-13,USD,JPY,151.248381,2025-10-12T03:24:11.648821
2025-06-13,USD,CHF,0.922474,2025-10-12T03:24:11.648828
2025-06-13,USD,CNY,7.256315,2025-10-12T03:24:11.648835
2025-06-13,USD,SGD,1.36566,2025-10-12T03:24:11.648842
2025-06-13,USD,HKD,7.841785,2025-10-12T03:24:11.648849
2025-06-13,USD,AED,3.69825,2025-10-12T03:24:11.648856
2025-06-13,USD,ZAR,17.988644,2025-10-12T03:24:11.648864
2025-06-13,USD,MXN,17.112934,2025-10-12T03:24:11.648871
2025-06-13,USD,SEK,10.475916,2025-10-12T03:24:11.648878
2025-06-13,USD,NOK,10.903186,2025-10-12T03:24:11.648885
2025-06-13,USD,DKK,6.792918,2025-10-12T03:24:11.648892
2025-06-13,USD,NZD,1.67441,2025-10-12T03:24:11.648899
2025-06-13,USD,PLN,4.054952,2025-10-12T03:24:11.648906
2025-06-13,USD,THB,36.344801,2025-10-12T03:24:11.648913
2025-06-13,USD,BRL,5.114969,2025-10-12T03:24:11.648920
2025-06-13,USD,TRY,33.176833,2025-10-12T03:24:11.648928
2025-06-13,USD,KRW,1345.443935,2025-10-12T03:24:11.648935
2025-06-13,USD,MYR,4.599635,2025-10-12T03:24:11.648943
2025-06-13,USD,PHP,56.466779,2025-10-12T03:24:11.648950
2025-06-13,USD,IDR,15552.036332,2025-10-12T03:24:11.648957
2025-06-13,USD,ARS,917.698345,2025-10-12T03:24:11.648964
2025-06-13,USD,CLP,910.472535,2025-10-12T03:24:11.648972
2025-06-13,USD,CZK,23.393318,2025-10-12T03:24:11.648979
2025-06-13,USD,VND,24253.605759,2025-10-12T03:24:11.648987
2025-06-14,USD,USD,0.979968,2025-10-12T03:24:11.648994
2025-06-14,USD,EUR,0.937977,2025-10-12T03:24:11.649001
2025-06-14,USD,GBP,0.771097,2025-10-12T03:24:11.649009
2025-06-14,USD,INR,84.498892,2025-10-12T03:24:11.649016
2025-06-14,USD,CAD,1.361003,2025-10-12T03:24:11.649023
2025-06-14,USD,AUD,1.467091,2025-10-12T03:24:11.649030
2025-06-14,USD,JPY,151.511403,2025-10-12T03:24:11.649038
2025-06-14,USD,CHF,0.919845,2025-10-12T03:24:11.649045
