product_id,sku,product_name,category,subcategory,price_usd,active,created_at,updated_at
PROD-10050,SKU-939807,Yellow Audio,Electronics,Audio,31.02,True,2022-05-30 03:02:19,2025-03-23 03:02:19
PROD-10051,SKU-112601,SlateGray Beverages,Grocery,Beverages,17.2,True,2021-09-13 03:02:19,2025-07-10 03:02:19
PROD-10052,SKU-545704,Green Men,Fashion,Men,11.18,True,2022-01-18 03:02:19,2024-11-19 03:02:19
PROD-10053,SKU-538191,LightSkyBlue Electronics,Automotive,Electronics,19.43,True,2021-11-25 03:02:19,2025-09-01 03:02:19
PROD-10054,SKU-295088,SandyBrown Kids,Fashion,Kids,32.57,True,2022-05-26 03:02:19,2025-01-18 03:02:19
PROD-10055,SKU-209361,PaleGoldenRod Accessories,Automotive,Accessories,68.94,True,2021-10-25 03:02:19,2025-05-01 03:02:19
PROD-10056,SKU-844031,OrangeRed Skincare,Beauty,Skincare,51.33,True,2022-07-25 03:02:19,2025-04-29 03:02:19
PROD-10057,SKU-712880,MediumSpringGreen Audio,Electronics,Audio,46.29,True,2022-12-26 03:02:19,2025-08-21 03:02:19
PROD-10058,SKU-830650,LightSteelBlue Car Care,Automotive,Car Care,46.93,True,2022-06-19 03:02:19,2024-10-25 03:02:19
PROD-10059,SKU-140293,PaleTurquoise Tools,Automotive,Tools,29.18,True,2023-08-04 03:02:19,2024-11-17 03:02:19
PROD-10060,SKU-555111,DarkKhaki Wearables,Electronics,Wearables,43.99,True,2023-05-12 03:02:19,2025-05-01 03:02:19
PROD-10061,SKU-744570,MediumSlateBlue Chairs,Office,Chairs,38.56,True,2022-02-27 03:02:19,2025-06-25 03:02:19
PROD-10062,SKU-713496,MidnightBlue Appliances,Home,Appliances,20.09,True,2022-07-29 03:02:19,2024-09-26 03:02:19
PROD-10063,SKU-251734,Azure Fiction,Books,Fiction,9.7,True,2022-12-14 03:02:19,2024-11-29 03:02:19
PROD-10064,SKU-242429,LightSkyBlue Puzzles,Toys,Puzzles,37.57,True,2022-11-06 03:02:19,2025-03-29 03:02:19
PROD-10065,SKU-173465,MediumSpringGreen Pantry,Grocery,Pantry,48.5,True,2022-12-26 03:02:19,2025-07-21 03:02:19
PROD-10066,SKU-381779,DarkSlateBlue Storage,Office,Storage,15.0,True,2023-05-09 03:02:19,2024-11-01 03:02:19
PROD-10067,SKU-369150,DarkBlue Haircare,Beauty,Haircare,36.56,True,2023-04-15 03:02:19,2024-09-17 03:02:19
PROD-10068,SKU-838696,DarkOliveGreen Women,Fashion,Women,34.56,True,2023-03-02 03:02:19,2025-09-20 03:02:19
PROD-10069,SKU-348785,AntiqueWhite Phones,Electronics,Phones,45.62,True,2023-03-31 03:02:19,2025-05-07 03:02:19
PROD-10070,SKU-866208,Aqua Men,Fashion,Men,22.3,True,2021-11-06 03:02:19,2025-01-17 03:02:19
PROD-10071,SKU-865987,GhostWhite Storage,Office,Storage,48.7,True,2023-05-04 03:02:19,2025-07-02 03:02:19
PROD-10072,SKU-848002,MistyRose Cycling,Sports,Cycling,12.49,True,2022-02-07 03:02:19,2024-11-08 03:02:19
PROD-10073,SKU-205311,CornflowerBlue Laptops,Electronics,Laptops,17.34,True,2022-09-14 03:02:19,2025-05-19 03:02:19
PROD-10074,SKU-145395,Purple Kids,Books,Kids,19.36,True,2022-09-10 03:02:19,2025-04-21 03:02:19
PROD-10075,SKU-895401,DarkOliveGreen Bedding,Home,Bedding,33.63,True,2022-02-02 03:02:19,2025-05-24 03:02:19
PROD-10076,SKU-973307,Peru Audio,Electronics,Audio,48.77,False,2023-03-14 03:02:19,2025-03-07 03:02:19
PROD-10077,SKU-774671,OldLace Produce,Grocery,Produce,21.42,True,2022-08-18 03:02:19,2025-07-18 03:02:19
PROD-10078,SKU-642528,MediumBlue Storage,Office,Storage,35.99,True,2022-05-11 03:02:19,2025-09-05 03:02:19
PROD-10079,SKU-828441,Tomato Printers,Office,Printers,45.51,True,2022-09-21 03:02:19,2025-06-28 03:02:19
PROD-10080,SKU-809106,Magenta Tools,Automotive,Tools,56.87,True,2022-06-13 03:02:19,2024-12-28 03:02:19
PROD-10081,SKU-233918,DarkOrchid Frozen,Grocery,Frozen,28.75,True,2022-07-03 03:02:19,2025-07-13 03:02:19
PROD-10082,SKU-446803,Salmon Decor,Home,Decor,72.05,True,2021-10-15 03:02:19,2024-12-26 03:02:19
PROD-10083,SKU-362644,Azure Tools,Beauty,Tools,21.56,True,2021-11-05 03:02:19,2025-07-09 03:02:19
PROD-10084,SKU-811418,SpringGreen Cycling,Sports,Cycling,28.79,True,2022-02-27 03:02:19,2025-08-11 03:02:19
PROD-10085,SKU-506216,DarkMagenta Accessories,Sports,Accessories,31.73,True,2022-08-14 03:02:19,2024-11-04 03:02:19
PROD-10086,SKU-118354,DarkOrange Dolls,Toys,Dolls,29.67,True,2022-09-28 03:02:19,2025-08-26 03:02:19
PROD-10087,SKU-754045,LightPink Board Games,Toys,Board Games,11.17,True,2023-07-04 03:02:19,2025-08-21 03:02:19
PROD-10088,SKU-345793,Olive Wearables,Electronics,Wearables,52.1,True,2022-12-10 03:02:19,2024-10-19 03:02:19
PROD-10089,SKU-870991,OldLace Furniture,Home,Furniture,48.19,True,2023-06-09 03:02:19,2024-11-28 03:02:19
PROD-10090,SKU-647497,MintCream Wearables,Electronics,Wearables,24.84,True,2021-12-26 03:02:19,2024-10-22 03:02:19
PROD-10091,SKU-746714,GreenYellow Non-Fiction,Books,Non-Fiction,27.54,True,2022-11-24 03:02:19,2025-05-13 03:02:19
PROD-10092,SKU-460135,MediumAquaMarine Writing,Office,Writing,48.56,True,2021-11-17 03:02:19,2025-03-24 03:02:19
PROD-10093,SKU-133232,Gainsboro Non-Fiction,Books,Non-Fiction,19.1,True,2022-06-25 03:02:19,2025-08-22 03:02:19
PROD-10094,SKU-518699,Silver Board Games,Toys,Board Games,47.79,True,2021-10-25 03:02:19,2025-09-06 03:02:19
PROD-10095,SKU-840796,Linen Men,Fashion,Men,32.6,True,2023-01-29 03:02:19,2025-03-20 03:02:19
PROD-10096,SKU-716895,MediumPurple Tools,Beauty,Tools,17.51,True,2022-04-29 03:02:19,2025-07-14 03:02:19
PROD-10097,SKU-661449,DeepPink Furniture,Home,Furniture,39.06,True,2022-09-17 03:02:19,2025-03-02 03:02:19
PROD-10098,SKU-695771,Azure Audio,Electronics,Audio,25.25,True,2022-04-03 03:02:19,2025-03-25 03:02:19
PROD-10099,SKU-151785,LightPink Decor,Home,Decor,19.57,True,2022-12-10 03:02:19,2025-01-27 03:02:19
PROD-10100,SKU-708582,LightCoral Writing,Office,Writing,22.47,True,2022-05-13 03:02:19,2025-07-10 03:02:19
PROD-10101,SKU-802594,SkyBlue Car Care,Automotive,Car Care,31.14,True,2021-09-15 03:02:19,2025-02-18 03:02:19
PROD-10102,SKU-680277,SkyBlue Dolls,Toys,Dolls,25.32,True,2022-12-07 03:02:19,2024-11-26 03:02:19
PROD-10103,SKU-296354,Beige Frozen,Grocery,Frozen,35.97,True,2022-10-26 03:02:19,2025-05-13 03:02:19
PROD-10104,SKU-593804,DodgerBlue Printers,Office,Printers,51.93,True,2022-09-23 03:02:19,2025-03-24 03:02:19
PROD-10105,SKU-718786,DarkKhaki Tools,Automotive,Tools,62.09,True,2022-02-11 03:02:19,2025-03-13 03:02:19
PROD-10106,SKU-252341,LightGray STEM,Toys,STEM,58.97,True,2023-04-15 03:02:19,2024-12-01 03:02:19
PROD-10107,SKU-211136,Magenta Action Figures,Toys,Action Figures,23.64,True,2022-01-07 03:02:19,2025-06-09 03:02:19
PROD-10108,SKU-378024,Bisque Shoes,Fashion,Shoes,51.5,True,2022-05-07 03:02:19,2025-06-22 03:02:19
PROD-10109,SKU-620315,DarkTurquoise Fiction,Books,Fiction,13.46,True,2021-10-29 03:02:19,2025-09-25 03:02:19
PROD-10110,SKU-324435,WhiteSmoke Car Care,Automotive,Car Care,38.77,True,2022-12-12 03:02:19,2025-07-06 03:02:19
PROD-10111,SKU-712145,Wheat Tools,Automotive,Tools,28.52,True,2021-09-06 03:02:19,2025-08-25 03:02:19
PROD-10112,SKU-245559,MintCream Phones,Electronics,Phones,52.54,True,2021-12-30 03:02:19,2024-10-04 03:02:19
PROD-10113,SKU-689541,CornflowerBlue Audio,Electronics,Audio,21.49,True,2022-03-22 03:02:19,2025-01-18 03:02:19
PROD-10114,SKU-309886,Violet Paper,Office,Paper,52.1,True,2022-02-21 03:02:19,2025-04-29 03:02:19
PROD-10115,SKU-455057,Blue Electronics,Automotive,Electronics,35.58,True,2022-01-31 03:02:19,2025-05-27 03:02:19
PROD-10116,SKU-970677,MediumTurquoise Education,Books,Education,26.73,True,2022-11-15 03:02:19,2025-08-20 03:02:19
PROD-10117,SKU-220016,MediumSpringGreen Pantry,Grocery,Pantry,33.85,True,2023-07-03 03:02:19,2025-07-01 03:02:19
PROD-10118,SKU-188930,PapayaWhip Fragrance,Beauty,Fragrance,18.54,True,2023-03-28 03:02:19,2025-06-18 03:02:19
PROD-10119,SKU-201443,PaleGreen Outdoor,Sports,Outdoor,30.81,True,2022-07-29 03:02:19,2024-10-08 03:02:19
PROD-10120,SKU-276059,SlateBlue Skincare,Beauty,Skincare,56.34,True,2022-02-16 03:02:19,2025-03-17 03:02:19
PROD-10121,SKU-125084,Orange Haircare,Beauty,Haircare,70.23,True,2023-01-19 03:02:19,2025-05-24 03:02:19
PROD-10122,SKU-820937,PowderBlue Pantry,Grocery,Pantry,51.69,True,2022-11-07 03:02:19,2024-10-25 03:02:19
PROD-10123,SKU-751034,Cyan STEM,Toys,STEM,34.99,True,2022-02-13 03:02:19,2025-06-03 03:02:19
PROD-10124,SKU-630902,SaddleBrown Cycling,Sports,Cycling,28.78,True,2022-03-15 03:02:19,2025-02-20 03:02:19
PROD-10125,SKU-882189,WhiteSmoke Team Sports,Sports,Team Sports,41.91,True,2021-09-12 03:02:19,2024-11-14 03:02:19
PROD-10126,SKU-639075,Peru Printers,Office,Printers,31.15,True,2023-06-11 03:02:19,2024-11-19 03:02:19
PROD-10127,SKU-429330,MidnightBlue Chairs,Office,Chairs,81.85,True,2023-05-17 03:02:19,2025-05-29 03:02:19
PROD-10128,SKU-248739,SandyBrown Tires,Automotive,Tires,29.79,True,2022-10-04 03:02:19,2024-09-13 03:02:19
PROD-10129,SKU-497260,GreenYellow Cycling,Sports,Cycling,31.42,True,2023-01-27 03:02:19,2024-11-23 03:02:19
PROD-10130,SKU-465656,Turquoise Non-Fiction,Books,Non-Fiction,43.82,True,2022-02-03 03:02:19,2024-12-05 03:02:19
PROD-10131,SKU-571262,DarkRed Audio,Electronics,Audio,18.36,True,2021-10-18 03:02:19,2025-01-16 03:02:19
PROD-10132,SKU-713851,SeaGreen Comics,Books,Comics,26.21,True,2023-03-27 03:02:19,2024-09-27 03:02:19
PROD-10133,SKU-369498,LimeGreen Shoes,Fashion,Shoes,13.86,True,2023-03-10 03:02:19,2024-10-30 03:02:19
PROD-10134,SKU-603717,IndianRed Tools,Beauty,Tools,33.05,True,2021-09-29 03:02:19,2024-09-10 03:02:19
PROD-10135,SKU-762892,Moccasin Audio,Electronics,Audio,11.19,True,2022-09-03 03:02:19,2025-09-29 03:02:19
PROD-10136,SKU-435420,AliceBlue Accessories,Sports,Accessories,40.95,True,2022-09-03 03:02:19,2024-10-11 03:02:19
PROD-10137,SKU-195159,Black Laptops,Electronics,Laptops,35.63,True,2021-10-18 03:02:19,2025-01-25 03:02:19
PROD-10138,SKU-299379,PeachPuff Accessories,Fashion,Accessories,34.11,True,2022-01-12 03:02:19,2025-04-04 03:02:19
PROD-10139,SKU-343831,Orchid Puzzles,Toys,Puzzles,25.9,True,2023-07-14 03:02:19,2024-12-22 03:02:19
PROD-10140,SKU-295911,Gainsboro Accessories,Automotive,Accessories,19.91,True,2022-08-27 03:02:19,2025-08-14 03:02:19
PROD-10141,SKU-701332,SteelBlue Skincare,Beauty,Skincare,40.84,True,2023-06-28 03:02:19,2025-02-21 03:02:19
PROD-10142,SKU-539081,CornflowerBlue Haircare,Beauty,Haircare,22.52,True,2022-09-29 03:02:19,2024-11-01 03:02:19
PROD-10143,SKU-596648,Orchid Women,Fashion,Women,67.96,True,2022-05-24 03:02:19,2025-01-20 03:02:19
PROD-10144,SKU-455548,LightPink Cameras,Electronics,Cameras,126.9,True,2022-07-09 03:02:19,2025-04-18 03:02:19
PROD-10145,SKU-620783,GhostWhite Snacks,Grocery,Snacks,40.38,True,2022-11-06 03:02:19,2025-08-22 03:02:19
PROD-10146,SKU-634218,LightBlue Pantry,Grocery,Pantry,42.03,True,2022-12-19 03:02:19,2025-02-23 03:02:19
PROD-10147,SKU-652689,Red STEM,Toys,STEM,49.8,True,2023-05-09 03:02:19,2025-08-13 03:02:19
PROD-10148,SKU-599260,LawnGreen Printers,Office,Printers,25.75,True,2022-06-23 03:02:19,2024-09-11 03:02:19
PROD-10149,SKU-357811,DarkMagenta Pantry,Grocery,Pantry,35.6,True,2022-10-16 03:02:19,2025-01-05 03:02:19
PROD-10150,SKU-603753,Maroon Decor,Home,Decor,33.77,True,2023-07-04 03:02:19,2025-10-12 03:02:19
PROD-10151,SKU-471873,LightBlue Fitness,Sports,Fitness,24.38,True,2021-10-21 03:02:19,2025-05-27 03:02:19
PROD-10152,SKU-757407,DeepPink Accessories,Automotive,Accessories,47.01,True,2022-06-16 03:02:19,2025-01-07 03:02:19
PROD-10153,SKU-284375,Maroon Accessories,Sports,Accessories,53.97,True,2023-07-22 03:02:19,2025-06-15 03:02:19
PROD-10154,SKU-426928,Azure Dolls,Toys,Dolls,24.16,False,2023-05-08 03:02:19,2025-01-30 03:02:19
PROD-10155,SKU-468189,MediumSlateBlue Puzzles,Toys,Puzzles,21.77,True,2022-01-08 03:02:19,2025-03-17 03:02:19
PROD-10156,SKU-677402,OldLace Non-Fiction,Books,Non-Fiction,26.59,True,2023-05-20 03:02:19,2024-10-06 03:02:19
PROD-10157,SKU-438289,DarkViolet Outdoor,Sports,Outdoor,16.74,True,2022-02-05 03:02:19,2025-08-24 03:02:19
PROD-10158,SKU-236707,DarkTurquoise STEM,Toys,STEM,17.53,True,2022-09-12 03:02:19,2025-09-24 03:02:19
PROD-10159,SKU-529886,Maroon Women,Fashion,Women,50.91,True,2022-12-29 03:02:19,2024-09-21 03:02:19
PROD-10160,SKU-355312,Gold STEM,Toys,STEM,52.32,True,2022-12-18 03:02:19,2024-11-29 03:02:19
PROD-10161,SKU-418180,MediumOrchid Kids,Books,Kids,23.19,True,2021-10-19 03:02:19,2025-02-11 03:02:19
PROD-10162,SKU-139734,IndianRed Fiction,Books,Fiction,35.8,True,2022-06-10 03:02:19,2024-10-12 03:02:19
PROD-10163,SKU-768968,LightSeaGreen Snacks,Grocery,Snacks,59.1,True,2023-07-09 03:02:19,2025-01-24 03:02:19
PROD-10164,SKU-908152,SlateGray Bedding,Home,Bedding,25.81,True,2023-02-16 03:02:19,2024-11-26 03:02:19
PROD-10165,SKU-578122,GhostWhite Frozen,Grocery,Frozen,76.35,True,2022-10-26 03:02:19,2025-10-08 03:02:19
PROD-10166,SKU-967292,IndianRed Laptops,Electronics,Laptops,41.09,True,2022-08-19 03:02:19,2024-10-16 03:02:19
PROD-10167,SKU-601364,SeaShell Paper,Office,Paper,40.99,True,2022-11-21 03:02:19,2025-08-31 03:02:19
PROD-10168,SKU-992401,PeachPuff Cycling,Sports,Cycling,54.24,True,2023-03-11 03:02:19,2025-03-03 03:02:19
PROD-10169,SKU-619727,WhiteSmoke Haircare,Beauty,Haircare,53.99,True,2023-05-05 03:02:19,2024-10-14 03:02:19
PROD-10170,SKU-115753,MediumTurquoise Outdoor,Sports,Outdoor,19.45,True,2023-06-28 03:02:19,2025-06-17 03:02:19
PROD-10171,SKU-957144,LightSeaGreen Cycling,Sports,Cycling,43.36,True,2023-02-11 03:02:19,2024-10-27 03:02:19
PROD-10172,SKU-950518,LawnGreen Shoes,Fashion,Shoes,50.48,True,2022-01-30 03:02:19,2025-09-16 03:02:19
PROD-10173,SKU-606282,LightCyan Fragrance,Beauty,Fragrance,51.95,True,2021-09-24 03:02:19,2025-02-13 03:02:19
PROD-10174,SKU-729785,DarkSlateBlue Wearables,Electronics,Wearables,22.18,True,2022-09-11 03:02:19,2024-10-15 03:02:19
PROD-10175,SKU-941402,MediumTurquoise Decor,Home,Decor,42.25,True,2021-10-05 03:02:19,2025-09-04 03:02:19
PROD-10176,SKU-861213,RosyBrown Decor,Home,Decor,27.68,True,2022-10-30 03:02:19,2024-11-24 03:02:19
PROD-10177,SKU-506207,BurlyWood Skincare,Beauty,Skincare,60.43,True,2022-02-11 03:02:19,2025-07-07 03:02:19
PROD-10178,SKU-822493,DarkBlue Men,Fashion,Men,41.65,True,2022-11-26 03:02:19,2024-11-25 03:02:19
PROD-10179,SKU-371884,PowderBlue Accessories,Automotive,Accessories,18.92,True,2022-08-28 03:02:19,2025-07-13 03:02:19
PROD-10180,SKU-681563,BlueViolet Accessories,Fashion,Accessories,39.16,True,2023-03-19 03:02:19,2025-09-01 03:02:19
PROD-10181,SKU-206034,Blue Fitness,Sports,Fitness,23.49,True,2023-06-10 03:02:19,2025-01-13 03:02:19
PROD-10182,SKU-941031,MediumVioletRed STEM,Toys,STEM,60.55,True,2023-07-30 03:02:19,2025-03-09 03:02:19
PROD-10183,SKU-712883,SkyBlue Cameras,Electronics,Cameras,86.38,True,2022-12-16 03:02:19,2024-11-11 03:02:19
PROD-10184,SKU-782115,PeachPuff Action Figures,Toys,Action Figures,43.43,True,2022-02-02 03:02:19,2025-06-04 03:02:19
PROD-10185,SKU-585721,LimeGreen Non-Fiction,Books,Non-Fiction,47.52,False,2022-02-26 03:02:19,2024-09-21 03:02:19
PROD-10186,SKU-436752,DeepSkyBlue Printers,Office,Printers,30.34,True,2022-12-16 03:02:19,2025-09-25 03:02:19
PROD-10187,SKU-863527,DarkKhaki Bedding,Home,Bedding,31.25,True,2023-07-02 03:02:19,2025-07-16 03:02:19
PROD-10188,SKU-940895,LavenderBlush Team Sports,Sports,Team Sports,12.26,True,2022-08-14 03:02:19,2025-01-25 03:02:19
PROD-10189,SKU-338756,BlueViolet Bedding,Home,Bedding,33.28,True,2022-05-19 03:02:19,2025-03-08 03:02:19
PROD-10190,SKU-498255,LightSkyBlue Writing,Office,Writing,34.32,True,2022-12-03 03:02:19,2024-10-30 03:02:19
PROD-10191,SKU-250335,Violet Education,Books,Education,13.8,True,2022-11-03 03:02:19,2025-06-26 03:02:19
PROD-10192,SKU-456637,BlanchedAlmond Makeup,Beauty,Makeup,43.69,True,2022-09-15 03:02:19,2024-11-12 03:02:19
PROD-10193,SKU-551537,CornflowerBlue Tools,Automotive,Tools,37.99,True,2022-03-04 03:02:19,2024-09-17 03:02:19
PROD-10194,SKU-788067,Chocolate Women,Fashion,Women,78.28,True,2023-01-31 03:02:19,2025-03-20 03:02:19
PROD-10195,SKU-921387,Aqua Makeup,Beauty,Makeup,10.0,True,2022-12-21 03:02:19,2025-08-09 03:02:19
PROD-10196,SKU-535440,MidnightBlue Puzzles,Toys,Puzzles,26.6,True,2023-05-28 03:02:19,2025-03-04 03:02:19
PROD-10197,SKU-765054,MediumTurquoise Accessories,Fashion,Accessories,61.01,True,2023-06-02 03:02:19,2025-10-09 03:02:19
PROD-10198,SKU-731406,MintCream Wearables,Electronics,Wearables,39.93,True,2022-10-29 03:02:19,2024-11-14 03:02:19
PROD-10199,SKU-988001,Gray Puzzles,Toys,Puzzles,16.6,True,2022-11-01 03:02:19,2025-06-13 03:02:19
PROD-10200,SKU-456357,LimeGreen Accessories,Sports,Accessories,23.61,True,2022-02-18 03:02:19,2024-11-10 03:02:19
PROD-10201,SKU-875087,Orange Writing,Office,Writing,40.6,True,2021-11-22 03:02:19,2024-10-08 03:02:19
PROD-10202,SKU-736197,DarkGoldenRod Haircare,Beauty,Haircare,44.56,True,2022-07-17 03:02:19,2025-04-15 03:02:19
PROD-10203,SKU-724029,IndianRed Skincare,Beauty,Skincare,49.0,True,2021-09-12 03:02:19,2024-12-04 03:02:19
PROD-10204,SKU-394704,HotPink Education,Books,Education,46.36,True,2021-11-06 03:02:19,2024-11-28 03:02:19
PROD-10205,SKU-327730,Azure Accessories,Sports,Accessories,42.07,True,2023-03-15 03:02:19,2025-01-03 03:02:19
PROD-10206,SKU-212157,ForestGreen Kitchen,Home,Kitchen,50.38,True,2022-09-18 03:02:19,2024-12-21 03:02:19
PROD-10207,SKU-701226,MediumSeaGreen Comics,Books,Comics,51.14,True,2023-02-10 03:02:19,2024-12-09 03:02:19
PROD-10208,SKU-115448,LavenderBlush Shoes,Fashion,Shoes,64.92,True,2022-08-09 03:02:19,2025-05-30 03:02:19
PROD-10209,SKU-469708,RosyBrown Snacks,Grocery,Snacks,65.61,True,2023-05-28 03:02:19,2024-12-16 03:02:19
PROD-10210,SKU-400714,Gainsboro Cycling,Sports,Cycling,39.78,True,2021-09-03 03:02:19,2025-06-03 03:02:19
PROD-10211,SKU-764376,Chocolate Makeup,Beauty,Makeup,39.65,True,2021-12-05 03:02:19,2025-01-13 03:02:19
