order_id,event_ts,currency,amount,status,sku,AccountExternalId
ORD-8c4ab4ef-fa00-4d4b-9ab5-32f300f8e86c,2025-09-16 20:26:38,CHF,167.29,CANCELLED,SKU-617026,3508b0321a85cb429859df056d4d67c15453ea011b28bac792aa8cf601fef6a4
ORD-3654fe28-2606-4ba7-8ecc-c7ee69de39bf,2025-09-26 17:47:42,USD,61.36,SHIPPED,SKU-480981,ee53ec76f217c6e0699bb0bb04c28f0a93eecdc4de238036864353d45a00bf74
ORD-e03d3ded-23be-42d7-bdd9-b1ce1589ee00,2025-08-16 05:21:47,GBP,12.09,CANCELLED,SKU-463942,fc7983bf00685661cd271a0129ca129760d0b27477916352270e4cf4ed0f063a
ORD-53bf002d-df95-4561-88cd-722107c9dea6,2025-09-19 13:09:44,SEK,58.97,PLACED,SKU-527845,c12d370b47ab78996461b0d5fc733aed05165760d285acf183f109ffc642237d
ORD-fb0f357c-b30e-4ee1-a70d-59c0197c08dd,2025-09-28 04:48:56,CNY,64.77,PLACED,SKU-997804,e03a4be970c57e83d57947032fcaa9d4a60dfa63ba1aba587d14efabd2927545
ORD-08a009a7-739f-4959-af0b-3c3a8074860e,2025-10-05 16:23:14,GBP,48.79,CANCELLED,SKU-771209,aaa5e231cdfcca65ea4872a471672fcfd4b65160c06b02aca694277524a455ab
ORD-3ccf5907-5d75-4ecc-8226-1a9ec4769d8f,2025-09-30 18:01:01,SEK,42.69,CANCELLED,SKU-916890,37bd1940a6d9924f6179657fd4921c0fff6e6d391d57a94cccfd4a9b6d02fd76
ORD-36472d7b-4f78-426d-90a1-3255de657356,2025-10-01 20:15:19,CHF,100.23,PLACED,SKU-123681,69a41ab60bd8b7408cce9a70a3a82260edd57a4604558ed089dd629c12ee2692
ORD-e9d846a2-c7ba-4092-8f30-aa269456fcb1,2025-09-12 19:16:08,USD,48.56,SHIPPED,SKU-225748,ae8a767aaa26aa823ae9449b3cd7be7834963167a27ada5817d52e22a427b286
ORD-c27a025c-b1c7-4139-90b1-c252ce1ad28a,2025-10-07 18:45:40,CAD,28.1,CANCELLED,SKU-610061,113280fcca108a11cb9f22a7cb55a2866c8d2fadb62de5a80fb3f07115ea2a6f
ORD-3cd5963f-30dd-4e1f-b200-cd161437a995,2025-09-25 05:44:41,JPY,50.34,SHIPPED,SKU-868383,275250a7f5b994ce99903f68062492e4baef58f5aac34fb8b40cffe2319b1dab
ORD-3ea6ec10-43c3-4b97-b4f2-df4f51594a93,2025-09-13 23:04:07,GBP,72.82,PAID,SKU-807843,2d8c38007539fdccb5d90aa1fa6f1f46927869157b290f5f7fb8fe785c8a76de
ORD-6664bc55-b758-4fe8-bc65-0e31b6f1987b,2025-09-15 17:59:24,CHF,78.17,CANCELLED,SKU-824779,da73d4cc6426de662558cf67e6f3c45878506dfe7ff2965aff1faaddf79167fd
ORD-716c9d4a-28ab-4ec1-9140-297aa7c181cc,2025-09-17 07:16:10,INR,46.23,PAID,SKU-154199,389670b3ff1e3470fc54ba215dc59745cc463f2b1cd5fb997af60edfd40162b1
ORD-a5ee7c22-5ca5-4003-9cb8-845a966af362,2025-08-20 23:32:12,INR,47.96,SHIPPED,SKU-519106,56d6c18078c21a849d8bf15db395a86197dd7ad2111b62bb729a7760e02270e7
ORD-e619121a-33e7-4601-b6ce-7b06180dfbfe,2025-09-27 13:46:00,CAD,82.24,SHIPPED,SKU-529886,c7aa405c43f8dd6d3fe7ae3b0f69fb6cf0b2a10fec2d2113d745164962529918
ORD-f4270f54-54c8-402e-b6bb-2406af486ae4,2025-09-14 15:58:43,CNY,25.93,PLACED,SKU-597613,58f4df3243224da0002800486089b0d178e0fffa9e86e2817efd9c590497fea4
ORD-695bd1f1-5383-4977-997f-91a5657ef7d0,2025-10-02 13:25:34,CAD,70.52,SHIPPED,SKU-902263,cda932b38be42511efdd30f2c7f69f7de6ca7bba401968da3896ac1d183268b2
ORD-4ba35bc2-95c2-4a8c-bd9c-ac0fabf4968d,2025-08-17 20:23:08,INR,37.69,SHIPPED,SKU-299379,ca7857b59dbb1bc08f182225cf52ab9743065e93fb2d7a17efbc5fb4d8acfb9a
ORD-ec799b36-a379-41ec-856f-92f9f3c64c26,2025-08-24 11:59:14,SEK,30.8,PLACED,SKU-232112,911b667f3d1184361644c2624894e33040dabe49bd151007b0c88f468b44f053
ORD-08df24f9-e95e-4c3e-8d3c-78690855b9c8,2025-08-22 17:54:34,CAD,55.81,PAID,SKU-501277,a39bd76b3dcc9ae33263cc764d2764d1beb872d18a8f264989e0b6024806bf16
ORD-e1da869c-746c-40b3-857e-b21e7166652b,2025-09-09 14:19:07,JPY,65.04,CANCELLED,SKU-458047,ddb1914a3885216bdaed567ffec4d5990eb0a2e69ff7625b04bc1fe164716e2d
ORD-8a6fd0fd-2344-4fa8-8127-7a85ac41eea7,2025-08-20 02:48:54,JPY,47.37,PLACED,SKU-827345,6e5be202d1e3e0520434afc60a97470e77ce3aa3469c14e15803096e142fd46e
ORD-7112503e-cc04-4653-8032-3fb5a21e6dbb,2025-09-12 21:09:30,CNY,116.82,CANCELLED,SKU-248655,3d5186b7b29cf11393d294e0786476b88e370a90212c085f88f6edc8d4281ac3
ORD-a1482431-df1a-404a-845a-305685350fbf,2025-09-21 16:50:41,CNY,60.28,PLACED,SKU-579266,e2e458b840de7779f340164b6425cd59d671e69e545e163cdaf4ac9ef2045f21
ORD-bbdb0e0d-e76c-404f-98da-db171520ccf4,2025-09-24 09:02:57,INR,142.93,CANCELLED,SKU-242667,81ea43cf1c5cb8d088e40e2b2771f6701e4e3431b9b346addac7b8e3585c94c2
ORD-8a46b136-ebde-4154-9802-4a2d3f5d2c1b,2025-09-16 09:37:08,EUR,69.93,SHIPPED,SKU-836292,33c5360b20d3070b7a9d666d04aeb44391408a4c2a5f003c91be96e0c6b2ef1b
ORD-d7f26ad6-bfda-484e-8475-2ad5ad8a3f1d,2025-08-27 21:34:47,AUD,42.75,SHIPPED,SKU-674279,b4ccba55ce36327dbad0063da8410c96b811f4125e27ffb0bc72f17cc2899e4d
ORD-2780283f-c559-49b8-80aa-61e5a77d7d81,2025-08-21 20:01:06,EUR,47.85,PAID,SKU-559169,3508b0321a85cb429859df056d4d67c15453ea011b28bac792aa8cf601fef6a4
ORD-8d8599b3-50a6-4bbc-9d1d-dd9046d23a26,2025-08-22 10:54:41,EUR,91.75,CANCELLED,SKU-205311,ba5f0ed01e57d972fe5316b223c84d594924e1e96fdfa3cf9e56f096c2795618
ORD-53c9c606-c658-4271-87a7-d09ba257e728,2025-08-18 07:55:56,CAD,48.26,PLACED,SKU-446803,6c0fedbe3ce74e0e486bea25b173f4c152b0650eef33277d56b366f85c6e8f97
ORD-10d8d6e3-c525-46f6-bc16-6021153b7a90,2025-09-07 21:48:40,CHF,21.14,SHIPPED,SKU-745920,fc7983bf00685661cd271a0129ca129760d0b27477916352270e4cf4ed0f063a
ORD-3632c05d-7520-4e3b-9277-bea3883ca0b1,2025-09-26 06:07:31,GBP,63.56,PLACED,SKU-903679,cf852f79dff29a4e2b5388a310f1545183e682a41514c987e1f67e578a420886
ORD-4675f802-d945-42e1-a866-02c766c186db,2025-10-05 00:29:07,USD,52.8,PAID,SKU-673278,8db9642e99a730342724c15bf3be1f50e054dc29f92489dcace1125feab1e86d
ORD-7b58419c-e8b9-4281-b774-5760ad4d3a3e,2025-08-21 02:55:05,GBP,43.74,CANCELLED,SKU-355312,32a76e57896afdf567bd9915db7bc9097821f5062f2688703b64342624105224
ORD-265c015f-ec14-4cfe-b457-e7b825f92626,2025-09-15 02:51:37,AUD,71.02,CANCELLED,SKU-133232,e1b08387b9ab4fd9f140300368d448e1d49bd667b64bdf7d175bd10b033aaa1b
ORD-d4170d60-727a-4270-ad3c-4b1bcbc96035,2025-08-20 18:52:05,USD,89.77,SHIPPED,SKU-409589,871dd3e9df1b5412f1d77ce30b6cfed92a8ee7cc317e1f310e64dec3440a9fee
ORD-9f87d22f-d867-4636-8acb-eff5a9ee450a,2025-09-22 19:52:52,INR,44.33,PAID,SKU-272454,871dd3e9df1b5412f1d77ce30b6cfed92a8ee7cc317e1f310e64dec3440a9fee
ORD-eb46309c-ab0c-4c5d-a287-1254f2ebacab,2025-08-27 07:47:43,AUD,53.01,SHIPPED,,8ffba3ab35deca0d7b1aba7bdd55f2d66f8361e3aa23740b2e10f9db2a5ab158
ORD-c0ae1c66-b31d-4300-b295-0f96d4266511,2025-08-25 19:38:20,SEK,19.98,CANCELLED,SKU-780645,0d6496e81d8f6400c0409d1a685aa9de935fd7d96ba2e6a5f81d336aa979768f
ORD-ec001777-3fff-4c68-8e3d-5a6eb32ed8c0,2025-09-19 03:00:11,SEK,46.15,PAID,SKU-286004,911b667f3d1184361644c2624894e33040dabe49bd151007b0c88f468b44f053
ORD-2e27f52a-1aba-49c0-a919-eccd48283440,2025-09-04 22:10:32,CHF,117.16,PAID,SKU-674279,9f8d00bd428bdbc0fc290fc202e7699c4d24bebb1debcc96749879dd963cf08a
ORD-52f9495e-eafa-4d7b-ab5f-1056c8f72eb2,2025-10-04 07:39:24,CHF,126.9,PLACED,SKU-787794,fb38a1f46384b363b820834a0d83471b3385ad5c5a88ef6eb62bf673c1c069f9
ORD-1b00d54d-c873-4a59-bd2b-86598ffdf668,2025-08-22 12:24:44,INR,143.68,PAID,SKU-890439,835b8606e95b6bcc751e3b9583374b3a8480517a77f66ac857346872a36234d1
ORD-6c2f517c-9e39-4bd0-8652-2634b9f6a815,2025-09-15 20:07:16,USD,62.13,PLACED,SKU-693619,f2ef7644bfbbb88ddb4956de0133691a4c533ecdf84b550673133f3ff8aa0487
ORD-e49decf5-e528-4c0d-94ec-761af8a23fb2,2025-10-08 14:03:41,AUD,64.59,CANCELLED,SKU-527845,b0b182d96a1b175badab1c7e107e1c62782fd6308d787a6a45a26250bfbca49f
ORD-d68015a3-468e-4217-878d-4ef3a790950c,2025-09-02 11:43:28,CHF,37.2,SHIPPED,SKU-543757,ecbfd004a0d94c1a4e8eace10ccd09f8ad377b2b446cfd541ec53f0f9a3643d1
ORD-bfd93148-ad9f-4f0f-97f7-9f4d5dbad01f,2025-10-10 02:16:18,CNY,97.05,PLACED,SKU-960199,e202e3f42e637d45795e4c8ba24dd7b2b7934804bf78c9accdb6c1ff59bce262
ORD-d8a78adb-caa7-455f-ae9e-1b93c5419f38,2025-08-28 08:57:45,INR,74.04,PAID,SKU-156113,363be4068c54820eaa4b54665d63a48d20accea43c13fba01a2217819aa1afe6
ORD-ff82bbaa-113d-453d-9445-a09b82d9b889,2025-09-10 04:40:29,AUD,53.56,SHIPPED,SKU-628484,194e7eef1a7c83d2f4275763b8c9e8f2a41fb280025d41003ac01ce7fc22a4b7
ORD-5ecd688d-db03-4bc2-8b00-1a6a903aa712,2025-10-11 18:53:43,JPY,67.45,PLACED,SKU-246231,fd11c127e0f8926756e8fff43e84e759fd6abb90ed56224ac1840a1100fd16ea
ORD-0fb8a21b-0640-4510-80d8-47b7d2a186fd,2025-08-14 23:09:01,SEK,36.52,SHIPPED,SKU-819694,cbbf818442a9ca09253d56abe55bbbe80f742dfd2028bd51652977e16aa62bd4
ORD-45d83b9c-87db-4e12-bc4d-4c13b10649e8,2025-08-31 17:35:28,GBP,40.16,PAID,SKU-204437,99e0a69f0a67d054151402e7e8b29140ab427b0bd7b7b2ac4a256eaee82f3652
ORD-6750c3e1-4df9-4ee0-8414-399f667bcf00,2025-09-26 12:36:05,USD,36.65,CANCELLED,SKU-473156,a39bd76b3dcc9ae33263cc764d2764d1beb872d18a8f264989e0b6024806bf16
ORD-f2de45b3-dc4b-4ed8-85bc-dcf17523b845,2025-09-27 07:35:46,CAD,25.21,SHIPPED,SKU-701226,971084405f0bdaa2de4072c55c429ed4eb561887d34886088e710b19fef2a14f
ORD-f15844d5-62eb-4af9-8133-c224c4d76f84,2025-09-12 19:51:38,AUD,42.94,SHIPPED,SKU-836292,5e3734231a006521f24cee96c102089ebbf8a04675b82de7ef4ca0ed34f0e3f4
ORD-cd13b102-ce70-4daf-8464-1f3c8dfa8748,2025-08-21 12:56:39,EUR,137.05,SHIPPED,SKU-461376,d7b966f613bf2623fa2e72136670e662f21412f2cb579e47d32e6ee9030fda79
ORD-e8ebc50d-8a3b-44c7-b916-b1965263757d,2025-10-07 22:53:50,USD,51.21,PLACED,SKU-534950,8c69c54f86e28fee16a51b8be2c8a44d1886a856e8ef90367b51a3540ba0081f
ORD-6cb9d180-4cab-45d7-8031-a9c23648180f,2025-09-08 23:59:00,CAD,34.46,PLACED,SKU-713496,e4c2071f26301ab1e981a199ed32fd2d745430ea5b7fadd83ba2b83c3a90c615
ORD-e1811449-8059-49ce-b9af-6368933644f7,2025-10-05 10:57:41,SEK,47.83,PAID,SKU-899603,dd4a6e8c25a59144ed8932bb3cf4bc7fe40079918b7804cf7f9fa60de8ebdb2f
ORD-9f445b26-9288-45d5-9048-a29442caf9e7,2025-09-07 00:05:47,JPY,74.96,PAID,SKU-692421,138959144de02b6cad8f280ecf65194fc5c7dc8afdcbd83132641e47b7f37137
ORD-b5f6139d-b0ca-43c0-a732-55ee4a141fb9,2025-09-08 19:15:10,EUR,59.26,SHIPPED,SKU-410227,8264a609d5de04c337681c2c7d0f94553c9ab79ae4c511a07a6c30864057b725
ORD-4dc46f88-8d6f-495c-8bb0-7e9a930f2646,2025-08-18 11:44:41,GBP,83.21,CANCELLED,SKU-500201,44627559b16501331562f5de9993e8cc2c255431930df3e8f0cfcfc58bb021e5
ORD-420f338f-efb8-40bf-bbfe-87d54217d5c9,2025-10-02 20:45:45,CAD,104.6,CANCELLED,SKU-464862,7ece215c8caf42852391073bd70a25c3e6b1e3ce5c29f05c8017ff61357b736b
ORD-00ee3844-736b-4dd9-b3ba-fe60d3933e3d,2025-09-16 05:15:17,CHF,60.15,PLACED,SKU-903506,042c2cd37bf6798dbfdee6dcc01863c35c7dc9ed0c0510f5bdf079f9b52b1304
ORD-d72a857e-6c6d-47f2-9d80-7a8b41c7bc35,2025-08-23 23:30:12,CNY,34.18,PAID,SKU-175896,ac8a5c73a1f2d81226c0e34900b266302c7662c2206ecfb2920b0087014c9400
ORD-a650020d-bbea-419f-b665-e137307d8590,2025-08-27 03:27:52,AUD,39.36,PLACED,SKU-748725,0d21088ef1c77f14c9d64b9cca5fbc8539b5b5725f5110e0b11646b0a4ae6ce1
ORD-dbb1dca0-d6d7-44ef-b807-5ab80d0fe2a8,2025-08-28 02:24:39,CNY,26.14,SHIPPED,SKU-964758,4c97344a5cde015ed4a7ac2e7dd48d5802a5b55f473aa946432ea3dc5840ff18
ORD-cdebe1a7-0386-4954-b7ad-8a48f503817c,2025-10-05 10:10:27,CNY,20.72,SHIPPED,SKU-203724,d6b362453ada9edc3093c6e4f8638419ebc6ede380945f916b87957f4dc4ebd9
ORD-ae3e9903-a605-4b03-84b3-6ec1d84bafd5,2025-08-19 02:19:15,CAD,53.07,PLACED,SKU-833392,ec4d78c8962f5f989d4ae3efd5b8a99b38d3c4a120c81711441cf74f0cea8d0b
ORD-7d7df3a2-3370-44e7-a149-d54b25f3048c,2025-09-29 20:07:02,EUR,60.7,PAID,SKU-817492,d6918f2d05085036de0531df2bb37481383e0ae60d4e373c9a508683e6c927c8
ORD-422da3ce-fca6-4b69-9a1b-6f3757a2d562,2025-08-20 04:59:29,USD,-9.59,PLACED,SKU-329507,aaa5e231cdfcca65ea4872a471672fcfd4b65160c06b02aca694277524a455ab
ORD-d30dbb8e-ad7e-49f0-b24a-88d62b45573c,2025-09-24 06:26:33,CAD,74.77,PAID,SKU-634218,d54d4b60177aded194697ce60fd4322130ed31c14cfb71909a3132df7ce6f7f6
ORD-a39e8fef-a313-491d-b1ad-40ac9d5f21d9,2025-09-05 13:30:06,JPY,14.71,CANCELLED,SKU-138197,7106e2185cf6a7177c4bbb900b2a176f4670cd740bdfdd068c3cfbe5156da9c9
ORD-4a615547-000f-45a9-ba75-f4227b68c333,2025-10-03 10:05:04,SEK,70.99,SHIPPED,SKU-430648,e4c2071f26301ab1e981a199ed32fd2d745430ea5b7fadd83ba2b83c3a90c615
ORD-83edbbc4-88d8-44d8-aead-3c9e478ac9c6,2025-09-05 02:28:41,CAD,101.57,PLACED,SKU-894336,93028d3bef30b03182719842a21a8a2dd0b9a56d7ff405775e1aaecabb9502f9
ORD-c36d891d-4560-4975-aa9f-ec710f40a6f3,2025-10-02 00:13:03,CAD,109.56,PLACED,SKU-880798,9ad4f750c81ed16410601e6c65c767053153e41ffce78018afb5e45cced7dfb9
ORD-6aafb14b-2f98-4178-bea7-b0bd11a4f11b,2025-08-14 15:12:24,GBP,94.38,PAID,SKU-833392,8a94ded32fcf57d6beea4e99b2c36e42c16d87b57e1b256368987400d7f55676
ORD-43dc2a38-f80f-49ad-a13c-0b9da7b8f070,2025-08-28 07:34:38,CHF,65.86,CANCELLED,SKU-523890,47c69af1544b56eb222b1daeb2f9f2bd909a769de988fd933c01515ba3034e45
ORD-66818b11-861b-4d99-bafb-ff4a38d5c203,2025-10-10 19:43:19,CAD,87.24,CANCELLED,SKU-555369,110cb0707aff752b429150d65a5541bbf9fe90b0a83c436a097ff84fa6a0d6c2
ORD-9d8ae358-8685-46f5-a2e8-7af22e486d31,2025-09-24 21:44:42,USD,90.17,PAID,SKU-130937,02b2ca9078b5858bf19e0f325fe368812618c7bc8f2a3c9b55669692c375872b
ORD-466107bc-951f-41ee-8a93-daa747a21459,2025-09-16 13:19:07,CHF,54.9,CANCELLED,SKU-761303,7ceca1c1caac3c387a971b656b90a93a7c151e321838d15715211bb06a15bbf3
ORD-39f6aadb-d671-4635-97b1-6254d04d26e1,2025-08-29 01:36:58,INR,37.11,PAID,SKU-303282,0b635346303497c077d17a29c95b3810c4464901e71265ba2eff95fea691c1ff
ORD-e958d072-5223-4b3e-b963-59dde265a2d5,2025-09-30 19:00:09,JPY,83.01,CANCELLED,SKU-814007,a04f4e5e04b19ea15b07372d7cf7b6fb5ebf80440b1560fba6ddc6df7f938a0c
ORD-e521d5c4-c6c1-4cec-af69-e6abc02fadfe,2025-09-10 09:17:50,AUD,83.38,PAID,,971084405f0bdaa2de4072c55c429ed4eb561887d34886088e710b19fef2a14f
ORD-642c9459-a38d-4e20-bc2f-e24d71f4023e,2025-10-09 05:32:00,SEK,83.93,PAID,SKU-987729,b56a8765c4402fe5b0253825a4a5d3d959770b4ae011de58a60a10a2310734e7
ORD-6b5fefa1-ec1e-48ad-baa3-721d959e033f,2025-09-05 07:56:42,EUR,133.12,SHIPPED,SKU-299379,aaa5e231cdfcca65ea4872a471672fcfd4b65160c06b02aca694277524a455ab
ORD-051db60b-0514-47e3-bd97-9779fcf13c38,2025-09-19 09:32:23,USD,132.67,PAID,SKU-860388,0dc7d0e34ff8366244c7144f3b4d2359d67bbb450b9bda830c77833d7ff38444
ORD-de21001d-3c8f-4b9d-b3fc-be9930d37ac4,2025-10-10 08:30:54,AUD,83.4,CANCELLED,SKU-114374,72ee8ff69034df8ce74025dc2ba62c8b6cd0374e24e75fa5c6dea049d8d0345f
ORD-db147630-e354-4b21-89fb-7757148ed89b,2025-09-10 16:58:36,CHF,49.86,PLACED,SKU-468189,3563005753deb1f949ceb03ceb69dff5c83152a574069f975c40727c7eebb45b
ORD-0b23ea1d-50c4-40de-b60c-e0227e1945ac,2025-09-27 18:14:54,EUR,66.24,PAID,SKU-768968,76afa787f13e349706f7764b93192e14fe415db3b007b7bcf7c537cac20fae84
ORD-a3f98087-1e20-441c-835f-c0f4b66f12e2,2025-09-18 17:42:24,CNY,81.19,PAID,SKU-227664,7b7d127507b3b2c9b04fcb1477dd109978fd8dd96dd7cec2fcaed09e2b4b65dd
ORD-cee86f01-f89b-41bd-830b-7d878e933a8f,2025-09-29 18:44:22,CNY,24.06,CANCELLED,SKU-238156,177586887cd810223d5c4c90e806fcc928902e7a57dc8608409fd69e82428fdc
ORD-a7365f88-2aa6-47c4-9137-66d302daae60,2025-08-25 05:45:10,CNY,62.47,PLACED,SKU-827874,835b8606e95b6bcc751e3b9583374b3a8480517a77f66ac857346872a36234d1
ORD-3a957825-f720-4dbe-a83e-993d97a424cc,2025-08-26 13:33:17,CHF,145.0,SHIPPED,SKU-342198,a39bd76b3dcc9ae33263cc764d2764d1beb872d18a8f264989e0b6024806bf16
ORD-0dca48d5-c035-4b93-af82-2fdd183dedc9,2025-09-29 05:27:57,INR,84.25,SHIPPED,SKU-717730,76a977a5309c737bb98ef53e2102958fb8aa8ce667ae785854a5171704073c11
ORD-39bc0eae-707e-4ead-ae85-c0648aff3407,2025-10-04 17:35:34,SEK,58.67,CANCELLED,SKU-410227,b0b182d96a1b175badab1c7e107e1c62782fd6308d787a6a45a26250bfbca49f
ORD-e0c94065-375e-40f0-9b03-297155cb68c8,2025-09-03 03:08:22,CNY,107.97,SHIPPED,SKU-120021,6cf0828daa8260edf86a44f2266c0a390964ed0be01937aecf0f1a1ee91563be
ORD-de1cac1f-701d-4338-96db-21fb50a56993,2025-08-28 09:49:46,GBP,75.11,CANCELLED,SKU-495015,1499d165ea3fd4bcdc5b9b5f86c58f330b2a6bc337ac00d49abcaa2e091d8fd6
ORD-b6189c9c-2b3f-4a9c-a4a6-9988a6004fcb,2025-10-03 13:31:46,SEK,28.71,CANCELLED,SKU-875087,65a2521a0703ac1c9dbd4a3782b2d8cdfc2d0c5969d6e34c9c2398d61d4832e2
ORD-f4e1b2ea-4423-4f08-ae24-ceb38a1dd9a9,2025-09-10 12:17:36,USD,24.26,SHIPPED,SKU-130937,28b88c1554ce8ea068ecb7c257b43523a6f335c109758747764f92fbb3cb6d8e
ORD-d6328f6f-5255-451b-bd79-33330aec65b7,2025-09-18 02:22:50,EUR,84.36,PAID,SKU-876294,21b6116c11abc0b11002bcc1c458008d3e24ef6a3340013343a056e6162c7f8d
ORD-d3e66e7d-a6c1-4550-8bd0-0c0d538ea378,2025-08-30 20:07:52,AUD,62.13,CANCELLED,,2d8c38007539fdccb5d90aa1fa6f1f46927869157b290f5f7fb8fe785c8a76de
ORD-a1dcbdd1-a9ee-449d-be66-f485c377ea47,2025-08-27 06:40:45,EUR,56.68,PAID,SKU-409965,207f2c3f488b7c6605928272393845bf3dcdb316b1da2af399251b6ef19aa71f
ORD-92b1819f-494e-49fe-98e4-e05082ca3e99,2025-09-15 10:10:29,CHF,65.93,PLACED,SKU-990238,c05a41448be18ad01edadbf11b4216d6954821379da28f0d951af7dbf0a2a32d
ORD-e09d2e8f-551d-425d-b29a-370b64c3791a,2025-08-20 15:40:55,SEK,46.99,PLACED,SKU-752555,59d3128520ea8b3961252c5d7719211941a449f3605d7d7ed4d49f5ec557d3b4
ORD-791ec8ca-4811-4624-8f2a-da11eb67c4f2,2025-09-23 21:34:24,USD,116.83,CANCELLED,SKU-707894,cd1bf791ded95ef08f83e735c7b17742e127274512a5b5ff804d39729e38f1cd
ORD-cbaca861-62d0-4c11-9a61-45292c1acf98,2025-08-29 07:58:42,SEK,69.43,CANCELLED,SKU-670123,6ed03475b047752f36f9d023d6027a0e3f9dee833bdacbac8938baa665492791
ORD-dd08e638-a4a5-4040-9021-dd1d9cc4fc3f,2025-09-24 05:32:25,AUD,35.65,SHIPPED,SKU-777647,96dded290eb7c5b8db75f5e33731a3bb720d268439c63aa1e0824a1d82a3b51a
